ibge7,mun,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3106606,Bertópolis,Bertópolis,Vale do Mucuri,0,0,5,0,0,175,52,0,0,0,73,0,0,5,0,0,4850,12,0
3106655,Berizal,Berizal,Norte de Minas,0,0,34,0,182,400,78,10,0,0,58,0,0,0,0,0,447,24,0
3106705,Betim,Betim,Metropolitana de Belo Horizonte,0,0,36,0,0,1472,30,0,28,0,115,0,0,0,150,0,1545,34,2490
3106804,Bias Fortes,Bias Fortes,Zona da Mata,0,0,0,0,0,120,20,0,0,0,170,0,0,0,0,0,6950,28,2000
3106903,Bicas,Bicas,Zona da Mata,0,0,0,0,0,1080,4,0,0,0,2,0,0,0,0,0,3055,8,110
3107000,Biquinhas,Biquinhas,Central Mineira,0,0,14,0,0,600,0,10,0,8,750,0,0,9,0,0,11633,33,366
3107109,Boa Esperança,Boa Esperança,Sul/Sudoeste de Minas,0,0,70,0,26570,360,1176,0,0,0,35850,13300,0,56,0,3510,20834,211,10560
3107208,Bocaina de Minas,Bocaina de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,576,18,0,0,0,152,0,0,0,0,0,7610,34,9280
3107307,Bocaiúva,Bocaiúva,Norte de Minas,0,0,1106,0,243,26700,430,35,10,20,2584,0,0,27,150,0,10380,403,211529
3107406,Bom Despacho,Bom Despacho,Central Mineira,0,0,48,0,0,117600,1020,1800,15,0,8850,5208,0,0,0,0,73445,5624,9150
3107505,Bom Jardim de Minas,Bom Jardim de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,270,15,0,0,0,120,0,0,0,360,0,4523,8,2425
3107604,Bom Jesus da Penha,Bom Jesus da Penha,Sul/Sudoeste de Minas,0,0,0,510,4700,0,48,0,0,0,15050,12540,1525,0,41,540,9596,60,980
3107703,Bom Jesus do Amparo,Bom Jesus do Amparo,Metropolitana de Belo Horizonte,0,0,1800,0,3,3111,1,0,10,0,102,0,0,232,0,0,2990,46,2500
3107802,Bom Jesus do Galho,Bom Jesus do Galho,Vale do Rio Doce,0,0,390,0,1400,9000,119,13,5,0,1600,0,0,16,0,0,8125,127,4650
3107901,Bom Repouso,Bom Repouso,Sul/Sudoeste de Minas,0,0,0,17940,17,0,7,0,0,0,1400,0,0,0,100,0,4903,35,1000
3108008,Bom Sucesso,Bom Sucesso,Oeste de Minas,0,0,0,0,3655,1000,6,27,0,0,825,0,0,0,0,0,28500,113,0
3108107,Bonfim,Bonfim,Metropolitana de Belo Horizonte,0,0,9,18,0,2900,9,168,20,0,310,0,0,5410,0,0,8882,53,250
3108206,Bonfinópolis de Minas,Bonfinópolis de Minas,Noroeste de Minas,0,0,3,0,1500,120,16190,0,0,0,75900,71280,0,0,0,0,7461,96,6500
3108255,Bonito de Minas,Bonito de Minas,Norte de Minas,0,0,4,0,0,4000,153,0,0,0,50,0,0,0,0,0,150,55,1350
3108305,Borda da Mata,Borda da Mata,Sul/Sudoeste de Minas,0,0,620,0,1016,477,22,10,0,0,1962,288,0,5,0,0,13222,67,2500
3108404,Botelhos,Botelhos,Sul/Sudoeste de Minas,0,0,800,0,11850,3212,43,0,3520,0,5856,0,0,0,0,0,8786,74,5250
3108503,Botumirim,Botumirim,Norte de Minas,0,0,81,0,12,1650,115,13,0,6,347,0,0,0,30,0,777,74,840
3108552,Brasilândia de Minas,Brasilândia de Minas,Noroeste de Minas,0,0,0,0,0,30380,6030,0,0,0,34650,11448,0,0,0,0,5345,57,0
3108602,Brasília de Minas,Brasília de Minas,Norte de Minas,0,0,0,0,0,7000,60,4,0,0,450,0,136,0,0,0,3378,221,4200
3108701,Brás Pires,Brás Pires,Zona da Mata,0,0,0,90,0,1250,203,0,0,0,608,0,0,0,0,0,2980,13,0
3108800,Braúnas,Braúnas,Vale do Rio Doce,0,0,125,0,5,1230,45,0,0,0,180,0,0,0,30,0,9881,46,6607
3108909,Brazópolis,Brazópolis,Sul/Sudoeste de Minas,0,0,8600,0,320,70,9,129,0,0,192,0,0,112,30,0,11205,23,300
3109006,Brumadinho,Brumadinho,Metropolitana de Belo Horizonte,0,0,60,0,0,6500,21,1860,56,0,230,0,0,8750,241,0,7205,123,2160
3109105,Bueno Brandão,Bueno Brandão,Sul/Sudoeste de Minas,0,0,350,23760,2400,2640,96,0,0,0,3339,0,0,407,0,6,13802,81,5960
3109204,Buenópolis,Buenópolis,Central Mineira,0,0,5,0,0,22200,42,12,0,117,510,0,1312,0,355,0,3974,72,432
3109253,Bugre,Bugre,Vale do Rio Doce,0,0,582,0,0,142,0,0,20,0,22,0,0,0,1311,0,3644,8,0
3109303,Buritis,Buritis,Noroeste de Minas,0,420,90,0,815,3300,22696,3671,0,0,167400,329650,14117,0,30,1641,16700,330,1565
3109402,Buritizeiro,Buritizeiro,Norte de Minas,0,1929,232,0,3300,340,2751,770,32,150,64315,68697,0,0,0,0,794,66,21370
3109451,Cabeceira Grande,Cabeceira Grande,Noroeste de Minas,0,0,0,0,0,60,6420,0,0,0,67100,50050,240,0,0,0,16590,59,0
3109501,Cabo Verde,Cabo Verde,Sul/Sudoeste de Minas,0,0,48,450,14620,30400,342,0,0,0,6294,138,0,0,0,228,10950,251,2490
3109600,Cachoeira da Prata,Cachoeira da Prata,Metropolitana de Belo Horizonte,0,0,0,0,0,120,0,0,0,0,8,0,0,0,0,0,2278,2,1045
3109709,Cachoeira de Minas,Cachoeira de Minas,Sul/Sudoeste de Minas,0,0,102,750,1675,2940,77,0,0,0,4536,0,0,7,186,0,10695,68,3500
3109808,Cachoeira Dourada,Cachoeira Dourada,Triângulo Mineiro/Alto Paranaíba,0,0,1044,0,0,0,0,0,0,0,25226,29520,8680,0,0,0,2616,4,0
3109907,Caetanópolis,Caetanópolis,Metropolitana de Belo Horizonte,0,0,24,0,0,1720,5,0,0,0,108,0,0,0,0,0,2557,102,3550
3110004,Caeté,Caeté,Metropolitana de Belo Horizonte,0,0,1631,0,29,1500,34,48,8,0,200,0,0,30,0,0,2752,158,9600
