ibge7,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup
3135076,Jampruca,0.0,0.0,0.0,0.0,29.3,23.3,15.17,31.5,100.0,19.7,19.7,0.0,Não,5068,2594,2473,60.16,64.89,2.11,72.0,344.6,609.51
3135100,Janaúba,20.57,35.16,8.82,9.65,18.7,40.9,28.66,56.4,97.1,211.0,49.4,16.4,Não,66803,32795,34008,47.83,90.67,2.05,73.0,468.29,872.13
3135209,Januária,10.9,20.77,12.08,13.62,22.8,38.9,27.68,42.5,98.7,77.9,30.5,12.2,Não,65464,32344,33119,58.76,62.64,2.27,74.0,359.19,645.1
3135308,Japaraíba,0.0,0.0,51.89,0.0,9.0,37.1,21.41,7.3,100.0,76.1,0.0,0.0,Não,3950,2012,1927,44.67,64.74,1.87,76.0,541.09,894.57
3135357,Japonvar,0.0,41.72,0.0,0.0,29.8,23.4,13.98,53.4,78.3,12.0,12.0,12.0,Não,8305,4211,4087,53.27,36.76,2.11,72.0,254.77,340.69
3135407,Jeceaba,0.0,0.0,0.0,37.74,9.6,27.4,16.76,39.2,0.0,0.0,55.6,18.5,Não,5396,2723,2672,44.45,55.38,1.47,76.0,401.99,784.17
3135456,Jenipapo de Minas,0.0,47.01,0.0,0.0,32.7,23.4,15.85,35.8,94.1,0.0,112.4,28.1,Não,7117,3662,3454,53.74,40.51,2.05,73.0,309.77,506.46
3135506,Jequeri,65.1,0.0,47.09,21.13,19.9,19.7,11.73,33.2,100.0,31.1,46.7,15.5,Não,12845,6477,6371,51.41,56.76,1.71,73.0,348.73,514.28
3135605,Jequitaí,0.0,0.0,0.0,10.75,25.7,29.8,19.49,35.0,100.0,24.9,87.4,24.9,Não,8010,4031,3974,50.59,68.76,2.39,73.0,345.53,568.41
3135704,Jequitibá,0.0,0.0,40.14,0.0,11.5,26.8,13.67,50.8,100.0,38.7,19.3,0.0,Não,5153,2619,2433,50.02,38.07,2.1,76.0,1007.03,576.16
3135803,Jequitinhonha,0.0,15.61,0.0,3.92,31.7,28.1,18.53,29.0,93.7,16.5,37.3,33.1,Não,24179,12276,11855,60.71,70.7,2.13,74.0,376.03,563.01
3135902,Jesuânia,88.65,0.0,0.0,0.0,13.2,24.8,13.34,41.6,100.0,62.9,20.9,0.0,Não,4768,2469,2299,43.77,64.89,1.82,75.0,533.26,775.87
3136009,Joaíma,27.14,24.53,0.0,20.69,36.8,22.4,15.92,31.2,100.0,13.3,46.8,26.7,Não,14930,7503,7438,64.66,68.76,2.7,72.0,281.18,439.04
3136108,Joanésia,0.0,0.0,73.37,0.0,23.6,18.9,10.38,50.1,100.0,36.8,18.4,18.4,Não,5427,2699,2726,55.1,38.01,1.57,73.0,369.24,526.63
3136207,João Monlevade,21.76,41.91,10.37,14.13,5.0,54.3,38.39,58.3,98.1,107.3,46.1,14.9,Não,73451,35034,38553,42.39,99.55,1.44,76.0,724.4,1251.82
3136306,João Pinheiro,48.73,65.65,9.0,12.84,13.8,39.1,24.14,48.1,100.0,97.2,57.4,33.1,Não,45260,23031,22198,47.22,81.22,2.32,72.0,562.24,926.33
3136405,Joaquim Felício,0.0,0.0,0.0,21.28,19.9,23.8,17.75,29.5,100.0,69.6,46.4,0.0,Não,4305,2216,2089,49.16,58.68,2.48,74.0,433.58,690.51
3136504,Jordânia,37.04,0.0,0.0,16.39,31.4,26.6,19.15,40.2,99.3,9.6,9.6,0.0,Não,10319,5334,4990,56.07,69.94,2.74,73.0,362.77,658.14
3136520,José Gonçalves de Minas,68.26,0.0,0.0,18.52,27.5,23.6,16.3,45.8,100.0,0.0,65.8,0.0,Não,4577,2358,2195,52.17,24.99,2.06,71.0,328.27,505.78
3136553,José Raydan,0.0,0.0,0.0,0.0,28.8,19.4,13.36,45.2,100.0,45.7,68.5,22.8,Não,4376,2168,2118,56.88,35.83,1.79,73.0,327.01,476.61
3136579,Josenópolis,0.0,79.43,0.0,0.0,39.8,18.3,10.23,32.6,100.0,65.7,65.7,21.9,Não,4566,2346,2220,70.1,53.53,2.86,72.0,232.47,334.33
3136603,Nova União,144.72,65.23,0.0,42.86,15.3,27.4,17.3,48.1,100.0,54.0,18.0,0.0,Não,5554,2796,2759,47.57,51.7,1.92,74.0,387.68,596.4
3136652,Juatuba,0.0,52.25,27.31,5.76,11.0,45.2,29.8,38.6,100.0,180.1,81.0,31.5,Não,22221,11156,10918,45.92,98.31,2.1,76.0,517.18,907.12
3136702,Juiz de Fora,18.19,25.23,17.27,17.85,3.9,61.2,45.85,46.5,90.2,181.5,46.4,8.5,Sim,517872,242741,271342,39.52,98.86,1.56,76.0,1050.88,1438.12
3136801,Juramento,0.0,0.0,0.0,0.0,20.7,38.7,21.81,40.2,100.0,0.0,0.0,0.0,Não,4110,2053,2060,49.57,55.24,1.82,73.0,335.93,461.91
3136900,Juruaia,38.3,0.0,22.05,0.0,8.3,26.7,14.78,41.1,100.0,21.6,10.8,0.0,Não,9238,4703,4535,44.11,48.86,2.01,77.0,1122.1,1671.92
3136959,Juvenília,0.0,0.0,0.0,14.29,30.8,26.6,17.16,36.3,86.2,35.0,17.5,17.5,Não,5708,2923,2785,58.57,76.94,2.58,72.0,223.32,489.89
3137007,Ladainha,22.08,42.13,0.0,22.83,38.9,18.0,11.2,24.5,100.0,23.5,47.0,17.6,Não,16999,8392,8602,66.54,25.36,2.43,70.0,226.72,372.54
3137106,Lagamar,0.0,0.0,0.0,24.39,13.2,37.4,23.36,79.7,100.0,39.4,26.3,0.0,Não,7598,3917,3683,44.7,67.47,2.1,75.0,592.95,998.44
3137205,Lagoa da Prata,8.26,8.11,4.32,10.42,8.0,41.1,26.49,69.8,93.8,67.4,10.8,4.3,Não,45999,22852,23132,41.68,97.73,2.02,75.0,707.01,1132.39
3137304,Lagoa dos Patos,82.85,0.0,0.0,73.17,20.9,28.4,21.9,38.8,100.0,0.0,23.6,0.0,Não,4227,2201,2024,53.2,72.88,2.64,71.0,321.11,496.01
3137403,Lagoa Dourada,30.9,0.0,0.0,20.27,7.3,23.1,16.16,44.0,100.0,0.0,0.0,0.0,Não,12267,6347,5909,46.19,56.21,1.62,75.0,522.62,945.51
