ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo
3112604,Capin?polis,Triangulo Mineiro/Alto Paranaiba,1701,1003,773,"32,97",N?o,Sim,1,"63,9","38,6","2,3","2,3","20,2","53,8",9,16183,8,21,9,"6,73",2444,"244,53","7,29","6,18",0,"9,5",,
3112653,Capit?o Andrade,Vale do Rio Doce,970,705,667,"18,62",N?o,Sim,1,"81,8","34,4","1,1",1,"73,2","60,3",2,5362,8,21,10,"19,62",361,"80,96","6,9","18,65","75,41","3,25","91,9",100
3112703,Capit?o En?as,Norte de Minas,2956,2347,2056,"23,37",N?o,Sim,1,100,"77,5","2,4","2,4","19,9","96,9",9,15157,8,21,9,"31,59",2468,227,"5,48","6,6",0,"11,35","88,7",
3112802,Capit?lio,Sul/Sudoeste de Minas,740,334,262,"24,14",N?o,Sim,1,73,"48,9","0,8","0,8",33,"67,6",9,8648,8,21,9,"4,45",1966,"345,84","7,05",0,0,"9,88",,
3112901,Caputira,Zona da Mata,1825,1412,1309,"11,48",N?o,Sim,1,81,"41,9","1,6","1,3","11,4","61,9",2,9412,8,21,9,"21,88",456,"57,03","6,48","10,62",0,"3,81",,
3113008,Cara?,Jequitinhonha,3888,3199,2786,"22,66",N?o,Sim,1,"90,7","50,6",1,1,"13,8","80,6",2,23679,8,20,9,"21,6",749,"47,53","6,46","50,68","65,21","0,87",,
3113107,Carana?ba,Campo das Vertentes,467,245,279,"6,07",N?o,Sim,1,"68,2","53,1","2,8","2,9","1,7","75,1",4,3309,8,20,10,"12,78",200,"94,12","8,16",0,0,"2,81",,100
3113206,Caranda?,Campo das Vertentes,3276,1802,1672,"24,83",N?o,Sim,1,"72,9","55,4","0,6","0,5","17,7","71,9",4,25214,8,20,9,"11,44",4245,"258,46","7,58",0,0,"16,68",,
3113305,Carangola,Zona da Mata,3811,2605,2352,"28,77",N?o,,,"67,8","48,7","2,4","2,3",24,"69,9",12,33513,8,21,8,"10,57",4883,"208,79","10,2","29,84","33,1","12,49",,
3113404,Caratinga,Vale do Rio Doce,10028,5380,5324,"25,91",N?o,Sim,1,83,59,"2,9","2,9","28,7",77,23,91342,8,19,8,"7,72",15877,"268,15","6,86","16,42","36,93","12,16",,100
3113503,Carbonita,Jequitinhonha,1684,1037,992,"28,09",Sim,Sim,1,"80,5","59,9","2,3","2,3","37,4","80,5",17,9526,8,21,9,"16,92",1032,"140,09","7,03","62,99","80,94","14,72",75,100
3113602,Carea?u,Sul/Sudoeste de Minas,848,510,417,"25,7",N?o,,,"70,2","41,8","0,4","0,4","19,9","59,7",1,6721,8,21,9,"7,52",1009,"211,46","10,12",0,0,10,,
3113701,Carlos Chagas,Vale do Mucuri,2944,1796,1814,"58,29",N?o,Sim,1,79,46,"1,7","1,7","12,5","66,3",8,19857,8,20,9,"13,55",2969,"216,04","9,17","25,18","38,9","8,61","83,5",
3113800,Carm?sia,Vale do Rio Doce,352,206,196,"2,45",N?o,Sim,1,"97,3","62,7","1,1","1,2","42,4","86,4",2,2615,8,19,11,"11,78",342,"196,16","6,12","38,24",0,"2,1",,
3113909,Carmo da Cachoeira,Sul/Sudoeste de Minas,1593,1074,788,"23,53",N?o,Sim,1,"83,2","48,4","2,1",2,"26,3","75,5",7,12326,8,21,9,"9,81",2380,"232,78","6,73",0,0,"6,83",,100
3114006,Carmo da Mata,Oeste de Minas,1153,683,562,"13,5",N?o,Sim,1,"66,6","55,2","1,3","1,3","26,1","68,7",4,11518,8,21,9,"8,53",1995,"272,8","5,64","8,68",0,"22,78",,
3114105,Carmo de Minas,Sul/Sudoeste de Minas,1603,1188,1019,"6,01",N?o,Sim,1,"63,3","36,4","1,7","1,5","17,4","63,7",4,14736,8,21,9,"11,36",2127,"197,02","6,11","6,79","26,39","20,09",,
3114204,Carmo do Cajuru,Oeste de Minas,1184,345,478,"12,18",N?o,Sim,1,79,"57,3","2,5","2,4",34,"83,4",6,21941,8,20,9,"2,77",3834,"312,27","5,42","9,12",0,"42,19",,
