ibge7,mun,abacate,abacaxi,alho,amendoim,arroz,aveia,banana,batata_doce,batata_inglesa,cafe_total,cafe_arab,cana,feijao,girassol,laranja,maracuja,milho,soja,sorgo,tomate,trigo,uva
4301750,Barão do Triunfo,0,0,42,0,1628,0,0,1620,25,0,0,84,473,0,28,0,5187,1523,0,23,50,188
4301800,Barracão,0,0,0,15,0,300,0,109,31,0,0,56,1035,0,9,0,2451,95037,0,0,864,1890
4301859,Barra do Guarita,0,7,14,16,0,32,40,48,0,0,0,53,18,0,14,0,1901,3950,0,30,153,62
4301875,Barra do Quaraí,0,0,0,0,177333,0,0,488,0,0,0,0,0,0,0,0,81,405,0,200,0,0
4301909,Barra do Ribeiro,0,0,0,0,77781,0,0,6426,0,0,0,0,24,0,70,0,214,11053,0,13,0,96
4301925,Barra do Rio Azul,0,0,0,45,0,0,0,113,24,0,0,359,26,0,1197,0,5132,1747,0,150,147,795
4301958,Barra Funda,0,0,20,28,0,48,0,259,0,0,0,35,27,0,150,0,2069,13733,0,21,310,513
4302006,Barros Cassal,0,0,48,0,0,0,0,1151,50,0,0,5,1284,0,115,0,3977,26581,0,0,152,359
4302055,Benjamin Constant do Sul,0,0,28,24,1,0,0,131,26,0,0,62,113,0,200,0,3315,3080,0,11,500,648
4302105,Bento Gonçalves,165,0,0,55,0,0,48,713,90,0,0,194,330,0,1176,0,475,0,0,4251,2,119034
4302154,Boa Vista das Missões,0,0,0,0,11,780,0,24,16,0,0,10,1005,0,90,0,9195,49590,0,0,3200,30
4302204,Boa Vista do Buricá,20,0,52,50,0,0,251,203,285,0,0,144,93,0,217,0,2748,9120,0,60,533,284
4302220,Boa Vista do Cadeado,0,0,0,46,0,1800,0,260,65,0,0,63,771,0,158,0,8541,146130,0,60,4680,309
4302238,Boa Vista do Incra,0,0,0,28,0,621,0,33,2670,0,0,14,86,0,124,0,10720,101328,0,0,1890,22
4302253,Boa Vista do Sul,69,0,120,20,0,0,20,200,1100,0,0,36,51,0,72,0,906,0,0,395,0,1711
4302303,Bom Jesus,0,0,0,0,0,0,0,0,21360,0,0,0,3753,0,0,0,25025,27720,0,0,2291,1491
4302352,Bom Princípio,43,0,13,44,17,0,23,641,132,0,0,1109,128,0,2244,0,720,0,0,1277,0,812
4302378,Bom Progresso,9,0,0,9,0,60,20,26,0,0,0,30,27,0,144,0,2916,11520,0,45,1102,78
4302402,Bom Retiro do Sul,0,0,0,0,174,0,0,0,9,0,0,50,23,0,30,0,810,385,0,0,34,36
4302451,Boqueirão do Leão,0,0,0,37,7,0,14,1781,48,0,0,5,1551,0,180,0,2573,1332,0,13,0,960
4302501,Bossoroca,0,0,0,0,0,2160,0,101,0,0,0,146,0,0,258,0,6313,129971,0,0,2040,75
