ibge7,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
1715259,Novo Jardim,Oriental do Tocantins,0,0,32,0,0,1600,0,0,0,0,285,0,0,0,0,0,815,12,0
1715507,Oliveira de Fátima,Ocidental do Tocantins,0,0,0,0,0,0,0,0,0,0,210,4968,450,0,0,0,426,5,0
1715705,Palmeirante,Ocidental do Tocantins,0,0,0,0,0,0,91,0,0,0,5940,25000,0,0,0,0,4550,44,1700
1715754,Palmeirópolis,Ocidental do Tocantins,0,0,80,0,0,0,0,0,0,40,3800,6500,0,0,0,0,1906,65,0
1716109,Paraíso do Tocantins,Ocidental do Tocantins,0,0,32,0,0,420,3,38,0,0,890,1867,500,0,0,0,4503,60,0
1716208,Paranã,Oriental do Tocantins,0,0,171,0,0,1050,32,0,0,320,760,0,0,0,0,0,3532,66,0
1716307,Pau D'Arco,Ocidental do Tocantins,0,0,0,0,0,0,15,0,0,0,144,0,0,0,0,0,8118,28,0
1716505,Pedro Afonso,Oriental do Tocantins,0,0,0,0,0,2358400,0,0,0,0,1462,42432,0,0,0,0,2074,19,752
1716604,Peixe,Ocidental do Tocantins,0,0,35,0,0,900,520,0,0,0,12800,148890,0,0,0,0,5335,176,800
1716653,Pequizeiro,Ocidental do Tocantins,0,0,188,0,0,0,15,0,0,0,3682,432,0,0,0,0,10694,75,180
1716703,Colméia,Ocidental do Tocantins,0,0,0,0,0,0,6,0,0,0,150,0,0,0,0,0,14618,57,380
1717008,Pindorama do Tocantins,Oriental do Tocantins,0,0,0,0,0,0,0,0,0,0,175,1110,0,0,0,0,1854,16,120
1717206,Piraquê,Ocidental do Tocantins,0,0,64,0,0,308,24,0,0,0,2109,3875,0,0,0,0,1212,43,50
1717503,Pium,Ocidental do Tocantins,0,0,143,0,0,1500,2825,0,0,0,14500,31195,0,0,0,0,4100,48,0
1717800,Ponte Alta do Bom Jesus,Oriental do Tocantins,0,0,117,0,0,2000,0,0,0,0,310,0,0,0,0,0,1220,39,0
1717909,Ponte Alta do Tocantins,Oriental do Tocantins,0,0,0,0,0,0,135,0,0,0,360,0,0,0,0,0,2105,70,1000
1718006,Porto Alegre do Tocantins,Oriental do Tocantins,0,0,42,0,0,210,0,0,0,0,160,0,0,0,0,0,530,19,0
1718204,Porto Nacional,Oriental do Tocantins,0,0,1760,0,0,0,87,0,0,0,62654,118900,3150,0,0,0,3812,150,1200
1718303,Praia Norte,Ocidental do Tocantins,0,0,32,0,0,0,31,0,0,0,36,0,0,0,0,0,3294,21,0
1718402,Presidente Kennedy,Ocidental do Tocantins,0,0,0,0,0,0,12,0,0,0,490,1400,0,0,0,0,2885,12,0
1718451,Pugmil,Ocidental do Tocantins,0,0,196,0,0,1300,7,0,0,0,3419,6585,0,0,0,0,770,13,0
1718501,Recursolândia,Oriental do Tocantins,0,0,18,0,0,0,0,0,0,0,180,0,0,0,0,0,2994,18,168
1718550,Riachinho,Ocidental do Tocantins,0,0,136,0,0,0,20,0,0,0,90,0,0,0,0,0,1021,19,935
1718659,Rio da Conceição,Oriental do Tocantins,0,0,12,0,0,800,0,0,0,0,24,0,0,0,0,0,64,2,0
1718709,Rio dos Bois,Ocidental do Tocantins,0,0,0,0,0,0,0,0,0,0,180,28050,0,0,0,0,885,11,0
