codmun,reeleito,sexo,idade,escolaridade,partido
150506,Sim,Feminino,63,Ensino médio completo,PR
150510,Não,Masculino,51,Ensino superior completo,PMDB
150520,Não,Masculino,38,Ensino superior completo,PMN
150530,Sim,Masculino,66,Ensino médio incompleto,PV
150540,Não,Masculino,45,Ensino médio completo,DEM
150543,Não,Masculino,43,Ensino médio completo,PSC
150548,Não,Masculino,45,Ensino médio incompleto,PSB
150549,Sim,Feminino,48,Ensino médio completo,PSDB
150550,Não,Masculino,48,Ensino superior incompleto,PSDB
150553,Não,Masculino,65,Ensino superior completo,PSD
150555,Não,Masculino,49,Ensino superior incompleto,PMDB
150560,Não,Masculino,47,Ensino médio completo,PMDB
150563,Não,Masculino,30,Ensino superior completo,PMDB
150565,Não,Masculino,57,Ensino médio completo,DEM
150570,Não,Feminino,46,Ensino superior completo,PSDB
150580,Não,Masculino,39,Ensino superior completo,PP
150590,Não,Masculino,51,Ensino superior completo,PSDB
150600,Não,Feminino,45,Ensino superior completo,PSDB
150610,Sim,Feminino,35,Ensino superior completo,PSDB
150611,Não,Masculino,25,Ensino superior completo,PDT
150613,Não,Masculino,29,Ensino médio completo,PRP
150616,Sim,Masculino,50,Ensino médio completo,PSB
150618,Sim,Feminino,50,Ensino superior completo,PSDB
150619,Não,Masculino,26,Ensino superior completo,PSDB
150620,Não,Masculino,47,Ensino superior completo,PSDB
150630,Não,Masculino,46,Ensino superior completo,PSDB
150635,Sim,Masculino,51,Ensino superior completo,PSD
150640,Sim,Masculino,49,Ensino médio completo,PT
150650,Não,Masculino,66,Ensino superior completo,PSD
150655,Não,Masculino,47,Ensino superior completo,PR
150658,Não,Masculino,50,Ensino médio completo,PMDB
150660,Não,Masculino,40,Ensino médio completo,PR
150670,Não,Masculino,37,Ensino fundamental completo,PMDB
150680,Não,Masculino,48,Pós-graduação,PSDB
150690,Sim,Masculino,63,Ensino superior incompleto,PMDB
150700,Não,Masculino,44,Ensino superior completo,PHS
150710,Não,Masculino,55,Ensino médio completo,PSDB
150715,Não,Masculino,51,Ensino médio completo,PPS
150720,Não,Masculino,49,Ensino fundamental incompleto,PSDB
150730,Não,Masculino,52,Ensino médio completo,PPS
150740,Não,Masculino,35,Ensino superior completo,PSDB
150745,Sim,Masculino,55,Ensino médio incompleto,PMDB
150746,Sim,Masculino,51,Ensino médio completo,PT
150747,Sim,Masculino,45,Ensino médio completo,PMDB
150750,Não,Masculino,51,Ensino médio completo,PTB
150760,Não,Masculino,55,Ensino superior completo,PPS
150770,Sim,Masculino,63,Ensino fundamental completo,PT
150775,Não,Masculino,42,Ensino médio completo,PSDB
150780,Não,Masculino,66,Ensino médio completo,PR
150790,Sim,Masculino,60,Ensino superior completo,PT
150795,Não,Masculino,47,Ensino médio completo,PSD
150796,Não,Masculino,49,Ensino médio incompleto,PR
150797,Sim,Masculino,40,Ensino médio incompleto,PSD
150800,Não,Masculino,26,Ensino superior completo,PT
150803,Não,Masculino,32,Ensino superior completo,PSDB
150805,Sim,Masculino,49,Ensino superior incompleto,PMDB
150808,Não,Masculino,42,Ensino médio completo,PMDB
150810,Sim,Masculino,52,Pós-graduação,PPS
150812,Não,Masculino,62,Ensino médio completo,PTB
150815,Não,Masculino,36,Ensino médio completo,PDT
150820,Não,Masculino,32,Ensino superior completo,PMDB
150830,Sim,Masculino,31,Ensino médio incompleto,PR
150835,Sim,Masculino,42,Ensino superior incompleto,PSB
150840,Não,Masculino,60,Ensino médio completo,PMDB
160005,Não,Masculino,Ignorada,Ensino médio completo,PSB
160010,Não,Masculino,61,Pós-graduação,PRB
160015,Não,Masculino,35,Ensino médio completo,PR
160020,Sim,Feminino,52,Ensino médio completo,PMDB
160021,Não,Feminino,40,Ensino médio completo,PSL
160023,Não,Masculino,44,Ensino superior completo,PMDB
160025,Não,Feminino,49,Ensino fundamental completo,PSB
160027,Não,Masculino,44,Ensino superior incompleto,PP
160030,Não,Masculino,41,Pós-graduação,PSOL
160040,Não,Masculino,52,Ensino superior incompleto,PMDB
160050,Não,Masculino,56,Ensino médio completo,PSB
160053,Não,Masculino,50,Ensino médio completo,PC do B
160055,Não,Masculino,44,Pós-graduação,PT
160060,Não,Masculino,35,Ensino superior incompleto,PTB
160070,Não,Masculino,56,Ensino superior incompleto,PMDB
160080,Não,Masculino,35,Ensino médio completo,PT
170025,Não,Masculino,42,Ensino superior incompleto,PSB
170030,Não,Masculino,38,Ensino médio completo,PT
170035,Sim,Masculino,46,Ensino superior completo,PT
170040,Sim,Masculino,26,Ensino superior completo,PSDB
170070,Não,Masculino,52,Ensino superior completo,PMDB
170100,Não,Masculino,56,Ensino superior incompleto,PSDB
170105,Não,Masculino,47,Ensino fundamental incompleto,PP
170110,Não,Masculino,48,Ensino superior completo,PSDB
170130,Não,Masculino,73,Ensino médio completo,PP
170190,Não,Feminino,34,Ensino superior completo,PMDB
170200,Não,Masculino,52,Ensino médio incompleto,PSDB
170210,Não,Masculino,52,Ensino superior completo,PR
170215,Não,Masculino,46,Pós-graduação,PT do B
170220,Não,Masculino,72,Ensino fundamental incompleto,PSB
170230,Não,Masculino,50,Ensino médio completo,PT
170240,Não,Masculino,59,Ensino médio completo,PP
170255,Não,Feminino,58,Ensino médio completo,DEM
170270,Não,Masculino,50,Ensino superior incompleto,PTB
170290,Não,Masculino,40,Ensino superior completo,PSD
170300,Não,Masculino,38,Pós-graduação,PSB
170305,Sim,Feminino,61,Ensino médio completo,PR
170307,Sim,Masculino,39,Pós-graduação,PMDB
170310,Sim,Feminino,39,Ensino superior completo,DEM
170320,Não,Masculino,62,Ensino médio completo,PSDB
170330,Não,Feminino,49,Ensino superior completo,PSDB
170360,Sim,Masculino,53,Ensino superior completo,PSD
170370,Sim,Masculino,56,Ensino fundamental completo,PSOL
170380,Não,Feminino,38,Pós-graduação,PSB
170382,Não,Masculino,31,Ensino médio completo,PSB
170384,Não,Masculino,49,Ensino fundamental completo,PSD
170386,Não,Masculino,59,Ensino fundamental incompleto,PPS
170388,Não,Masculino,40,Ensino superior completo,PSB
170389,Não,Masculino,37,Ensino superior completo,PR
170390,Não,Masculino,41,Ensino superior completo,DEM
170410,Não,Masculino,51,Ensino fundamental completo,PSDB
170460,Sim,Masculino,49,Ensino superior incompleto,PR
170510,Sim,Masculino,47,Ensino médio completo,PSD
170550,Sim,Masculino,48,Ensino fundamental completo,PT
170555,Não,Feminino,56,Ensino médio completo,PSDB
170560,Não,Masculino,44,Ensino médio completo,PMDB
170600,Não,Masculino,34,Ensino superior completo,PT
170610,Não,Masculino,46,Ensino superior incompleto,PP
170625,Não,Masculino,26,Ensino médio completo,PSD
170650,Não,Masculino,48,Ensino médio completo,PR
170700,Não,Masculino,47,Ensino superior completo,PSC
170710,Não,Masculino,34,Ensino superior completo,PRP
170720,Não,Masculino,55,Ensino superior completo,PSB
170730,Sim,Masculino,51,Ensino médio completo,PSB
170740,Não,Masculino,48,Ensino superior completo,PT
170755,Não,Masculino,52,Ensino médio completo,PSDB
170765,Não,Masculino,41,Ensino médio completo,PMDB
170770,Sim,Masculino,41,Ensino superior incompleto,DEM
170820,Não,Masculino,43,Ensino médio completo,PRTB
170825,Não,Masculino,38,Ensino fundamental incompleto,PSD
170830,Não,Masculino,32,Ensino médio completo,PSB
170900,Sim,Masculino,35,Ensino superior completo,PSD
170930,Não,Masculino,63,Ensino superior incompleto,PSD
170950,Não,Masculino,55,Ensino superior completo,PSB
170980,Não,Masculino,42,Ensino superior completo,PSD
171050,Não,Feminino,49,Ensino superior completo,PSD
171070,Não,Masculino,41,Ensino superior completo,PMDB
171090,Não,Masculino,39,Ensino superior completo,PR
171110,Sim,Masculino,48,Ensino médio completo,PSD
171150,Não,Masculino,37,Ensino superior completo,PSD
171180,Sim,Masculino,58,Ensino médio completo,PSD
171190,Sim,Masculino,Ignorada,Ensino superior completo,DEM
171195,Não,Masculino,41,Ensino superior completo,PSDB
171200,Sim,Feminino,45,Ensino superior completo,PSD
171215,Não,Masculino,55,Ensino fundamental incompleto,PSDB
171240,Sim,Masculino,50,Ensino médio completo,PSD
171245,Não,Masculino,47,Ensino médio completo,PSD
171250,Não,Masculino,57,Ensino fundamental completo,PMDB
171270,Não,Masculino,59,Ensino fundamental completo,PR
171280,Não,Feminino,47,Ensino médio completo,PSDB
171320,Não,Feminino,48,Ensino superior completo,PR
171330,Não,Masculino,65,Ensino superior completo,PSD
171360,Sim,Masculino,41,Ensino superior incompleto,PSD
171370,Não,Masculino,40,Ensino médio completo,PMDB
171380,Não,Masculino,31,Ensino superior completo,PT
171395,Sim,Masculino,59,Ensino fundamental completo,PMDB
171420,Não,Masculino,56,Ensino superior completo,PSB
171430,Sim,Masculino,39,Ensino superior completo,PTB
171488,Não,Masculino,44,Ensino fundamental completo,PTB
171500,Sim,Masculino,39,Ensino superior completo,PSB
171510,Não,Masculino,46,Ensino superior completo,PSB
171515,Sim,Masculino,59,Ensino superior completo,PSD
171525,Não,Masculino,36,Ensino superior completo,PSD
171550,Não,Masculino,41,Ensino médio completo,PMDB
171570,Não,Masculino,69,Ensino fundamental completo,PTN
171575,Não,Masculino,35,Pós-graduação,PSD
171610,Não,Masculino,Ignorada,Ensino superior completo,PMDB
171620,Não,Masculino,56,Ensino superior completo,PMDB
171630,Não,Feminino,37,Ensino superior completo,PMDB
171650,Não,Masculino,36,Pós-graduação,PDT
171660,Sim,Feminino,48,Ensino superior completo,PSDB
171665,Não,Masculino,41,Ensino superior completo,PT
171670,Não,Masculino,50,Ensino médio completo,PSD
171700,Não,Masculino,53,Ensino médio completo,PSD
171720,Não,Masculino,64,Ensino médio completo,PSDB
171750,Não,Masculino,44,Ensino superior completo,PSD
171780,Não,Masculino,40,Ensino superior completo,PR
171790,Não,Masculino,47,Ensino médio completo,PPS
171800,Sim,Feminino,49,Ensino médio completo,PMDB
171820,Não,Masculino,53,Ensino superior completo,PSDB
171830,Não,Masculino,22,Ensino superior incompleto,PSB
171840,Não,Masculino,49,Ensino superior completo,PT
171845,Não,Feminino,52,Ensino superior completo,PMDB
171850,Sim,Masculino,36,Ensino superior completo,PSD
171855,Não,Masculino,37,Ensino superior completo,PT
171865,Sim,Masculino,38,Ensino superior completo,PMDB
171870,Não,Masculino,53,Ensino médio completo,PMDB
171875,Não,Masculino,33,Ensino superior completo,PR
171880,Sim,Masculino,57,Ensino superior incompleto,PP
171884,Não,Feminino,39,Ensino superior completo,PR
171886,Não,Masculino,59,Ensino fundamental completo,PSB
171888,Não,Feminino,40,Ensino superior completo,PMDB
171889,Não,Masculino,26,Pós-graduação,PSD
171890,Não,Masculino,48,Ensino superior completo,PSDB
171900,Sim,Masculino,48,Ensino fundamental completo,PMDB
172000,Não,Feminino,38,Pós-graduação,PSB
172010,Não,Masculino,42,Ensino superior completo,PTB
172015,Não,Masculino,37,Pós-graduação,PR
172020,Não,Masculino,41,Ensino médio completo,PMDB
172025,Não,Masculino,43,Ensino superior completo,PSD
172030,Não,Feminino,38,Pós-graduação,PSB
172049,Não,Masculino,66,Pós-graduação,PR
172065,Não,Masculino,63,Ensino médio completo,PMDB
172080,Sim,Masculino,43,Ensino médio completo,PMDB
172085,Não,Masculino,39,Ensino superior completo,PTB
172090,Não,Masculino,68,Ensino fundamental incompleto,PSDB
172093,Não,Masculino,64,Ensino superior completo,PSD
172097,Sim,Feminino,49,Ensino médio completo,PMDB
172100,Não,Masculino,52,Ensino superior completo,PP
172110,Não,Masculino,38,Ensino superior completo,PSD
172120,Sim,Masculino,54,Ensino superior completo,PR
172125,Não,Masculino,60,Ensino fundamental completo,PP
172130,Não,Masculino,66,Ensino fundamental incompleto,PSDB
172208,Não,Masculino,38,Ensino médio incompleto,PTN
172210,Não,Feminino,42,Ensino superior completo,PSDB
210005,Não,Feminino,51,Pós-graduação,PMDB
210010,Não,Masculino,36,Ensino superior completo,PMDB
210015,Não,Masculino,42,Ensino superior completo,PV
210020,Não,Masculino,47,Pós-graduação,PT
210030,Não,Masculino,53,Ensino superior completo,PMDB
210040,Não,Masculino,29,Ensino superior completo,PMDB
210043,Não,Masculino,46,Ensino superior incompleto,PTB
210047,Sim,Masculino,33,Ensino superior incompleto,PRTB
210050,Não,Masculino,55,Ensino médio completo,PSB
210055,Sim,Masculino,42,Ensino superior incompleto,PRB
210060,Sim,Feminino,41,Ensino superior completo,PV
210070,Não,Masculino,53,Ensino superior completo,PMDB
210080,Sim,Feminino,60,Ensino superior completo,PRB
210083,Não,Masculino,44,Ensino médio completo,PV
210087,Não,Masculino,58,Ensino médio completo,PR
210090,Não,Feminino,21,Ensino superior incompleto,PR
210095,Não,Masculino,34,Ensino superior completo,PMDB
210100,Não,Masculino,56,Ensino superior completo,PTB
210110,Não,Feminino,34,Ensino superior completo,PMDB
210120,Não,Masculino,60,Ensino médio completo,PMDB
210125,Não,Masculino,Ignorada,Ensino superior completo,PTB
210130,Não,Masculino,48,Ensino superior completo,PP
210135,Não,Masculino,66,Ensino superior completo,PDT
210140,Não,Masculino,49,Ensino superior completo,PSB
210150,Não,Masculino,29,Ensino superior completo,PR
210160,Não,Masculino,29,Ensino superior completo,PSC
210170,Não,Masculino,67,Ensino superior completo,PDT
210173,Sim,Masculino,54,Ensino médio completo,PT
210177,Não,Masculino,74,Ensino médio completo,PSB
210180,Sim,Masculino,37,Ensino superior completo,PMDB
210190,Não,Masculino,52,Ensino superior completo,PMDB
210193,Não,Feminino,39,Pós-graduação,PMDB
210197,Não,Masculino,32,Ensino médio completo,PSL
210200,Não,Feminino,23,Ensino médio completo,PRB
210203,Não,Feminino,39,Ensino médio completo,PT do B
210207,Sim,Masculino,39,Ensino médio completo,PMDB
210210,Não,Masculino,58,Ensino superior completo,PV
210220,Não,Masculino,25,Ensino médio completo,PRP
210230,Não,Masculino,Ignorada,Ensino superior completo,PTB
210232,Não,Masculino,45,Ensino médio completo,PMDB
210235,Não,Masculino,44,Ensino médio completo,PR
210237,Sim,Masculino,68,Ensino superior completo,PSD
210240,Não,Masculino,53,Ensino médio completo,PC do B
210250,Sim,Masculino,38,Ensino superior completo,PRB
210255,Não,Masculino,26,Ensino superior completo,PT
210260,Não,Masculino,53,Ensino fundamental completo,PSB
210270,Sim,Masculino,52,Ensino médio completo,DEM
210275,Não,Masculino,39,Ensino superior incompleto,DEM
210280,Não,Masculino,43,Ensino superior completo,PMDB
210290,Sim,Masculino,53,Ensino médio completo,PSD
210300,Não,Masculino,31,Pós-graduação,PSB
210310,Não,Masculino,52,Ensino superior completo,PMDB
210312,Não,Masculino,Ignorada,Ensino fundamental incompleto,PMDB
210315,Sim,Feminino,34,Ensino superior incompleto,PR
210317,Sim,Masculino,59,Ensino fundamental incompleto,PSD
210320,Não,Feminino,49,Ensino superior completo,PRB
210325,Não,Masculino,46,Ensino superior completo,PMN
210330,Sim,Masculino,56,Ensino fundamental incompleto,PV
210340,Sim,Masculino,42,Ensino médio completo,PSD
210350,Não,Masculino,62,Pós-graduação,PSB
210355,Sim,Feminino,40,Ensino médio completo,PSD
210360,Não,Feminino,57,Ensino superior completo,PMDB
210370,Não,Masculino,49,Pós-graduação,PMDB
210375,Não,Masculino,52,Ensino fundamental completo,PRB
210380,Não,Masculino,36,Ensino superior completo,PC do B
210390,Sim,Masculino,43,Ensino superior incompleto,PSD
210400,Não,Masculino,40,Pós-graduação,PT do B
210405,Não,Masculino,40,Pós-graduação,PMDB
