ibge7,mun,nome_meso,abacate,abacaxi,alho,amendoim,arroz,aveia,banana,batata-doce,batata-inglesa,cafe_total,cafe_arab,cana,feijao,girassol,laranja,maracuja,milho,soja,sorgo,tomate,trigo,uva
3103207,Araçaí,Metropolitana de Belo Horizonte,0,0,0,0,0,0,100,0,0,0,0,0,2,0,0,8,84,0,0,0,0,0
3103306,Aracitaba,Zona da Mata,0,0,0,0,0,0,200,0,0,0,0,2160,55,0,0,0,360,0,0,0,0,0
3103405,Araçuaí,Jequitinhonha,0,60,3,11,4,0,9950,5,0,3,3,7560,135,0,120,0,415,0,0,80,0,0
3103504,Araguari,Triângulo Mineiro/Alto Paranaíba,210,0,0,0,5,0,2475,36,3325,27550,27550,2160,90,890,0,2806,126450,122850,12600,72000,4980,20
3103603,Arantina,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,0,0,1750,2,0,0,0,15,0,0,0,0,0
3103702,Araponga,Zona da Mata,0,0,0,0,0,0,200,0,0,7500,7500,2688,372,0,0,0,2160,0,0,0,0,0
3103751,Araporã,Triângulo Mineiro/Alto Paranaíba,0,140,0,0,0,0,608,0,0,0,0,758000,47,0,0,0,2738,4744,1763,0,0,0
3103801,Arapuá,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,8,0,0,0,0,997,997,0,0,0,0,120,4,0,0,300,0,0
3103900,Araújos,Central Mineira,0,0,0,0,0,0,6,11,0,0,0,4000,12,0,0,0,70,0,0,0,0,0
3104007,Araxá,Triângulo Mineiro/Alto Paranaíba,160,0,0,0,0,0,0,0,2500,4480,4480,208000,2940,0,0,0,39480,35425,5548,0,2112,0
3104106,Arceburgo,Sul/Sudoeste de Minas,12,0,0,0,0,0,18,0,0,1120,1120,50400,213,0,2040,0,3300,0,0,0,0,0
3104205,Arcos,Oeste de Minas,0,0,0,0,495,0,125,0,0,0,0,116922,189,0,0,0,22250,1088,1000,420,0,0
3104304,Areado,Sul/Sudoeste de Minas,0,0,0,0,0,0,600,0,0,4486,4486,231896,170,0,0,0,12623,4394,0,0,0,0
3104403,Argirita,Zona da Mata,0,0,0,0,2,0,185,0,0,0,0,0,11,0,0,0,105,0,0,0,0,0
3104452,Aricanduva,Jequitinhonha,13,35,7,27,2,0,44,3,0,376,376,1680,105,0,0,0,780,0,0,0,0,0
3104502,Arinos,Noroeste de Minas,0,15,0,0,49,0,20,0,0,0,0,13300,6600,0,0,6,12000,12039,893,0,0,0
3104601,Astolfo Dutra,Zona da Mata,10,0,0,0,0,0,0,0,0,24,24,837,11,0,3,12,19,0,0,90,0,0
3104700,Ataléia,Vale do Mucuri,0,0,0,1,9,0,140,14,0,54,54,900,58,0,36,12,142,0,0,0,0,0
3104809,Augusto de Lima,Central Mineira,8,0,0,0,1,0,70,0,0,0,0,17500,123,0,20,0,1000,0,164,0,0,0
3104908,Baependi,Sul/Sudoeste de Minas,0,0,0,0,1,0,28,0,0,1427,1427,0,15,0,10,0,1760,1088,0,0,0,0
3105004,Baldim,Metropolitana de Belo Horizonte,30,0,0,0,3,0,312,0,0,0,0,2844,74,0,12,57,2385,1248,6,1800,0,0
3105103,Bambuí,Oeste de Minas,0,105,0,0,3,56,63,0,0,4200,4200,784000,2452,0,207,30,49800,21315,945,54,137,0
3105202,Bandeira,Jequitinhonha,0,0,0,0,0,0,90,0,0,72,72,576,216,0,0,0,60,0,0,0,0,0
3105301,Bandeira do Sul,Sul/Sudoeste de Minas,0,0,0,0,0,28,38,0,0,543,543,0,16,0,0,0,94,109,0,0,0,0
3105400,Barão de Cocais,Metropolitana de Belo Horizonte,0,0,0,0,0,0,340,0,0,2,2,2700,3,0,0,0,50,0,0,0,0,0
3105509,Barão de Monte Alto,Zona da Mata,0,0,0,0,36,0,0,0,0,0,0,282,5,0,0,0,32,0,0,0,0,0
3105608,Barbacena,Campo das Vertentes,182,0,33,0,3,5,360,250,1160,0,0,180,1021,0,510,125,7776,0,0,9620,0,21
3105707,Barra Longa,Zona da Mata,0,0,0,0,0,0,27,0,0,0,0,17580,67,0,0,0,470,0,0,0,0,0
3105905,Barroso,Campo das Vertentes,0,0,0,0,0,0,116,0,0,0,0,1240,24,0,0,0,241,0,0,0,0,0
3106002,Bela Vista de Minas,Metropolitana de Belo Horizonte,0,0,0,0,3,0,0,0,0,0,0,282,2,0,0,0,0,0,0,0,0,0
3106101,Belmiro Braga,Zona da Mata,0,0,0,0,0,0,110,0,0,0,0,779,8,0,10,0,83,0,0,0,0,0
3106200,Belo Horizonte,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106309,Belo Oriente,Vale do Rio Doce,0,0,0,2,1,0,91,0,0,0,0,2700,36,0,2,0,210,0,0,0,0,0
3106408,Belo Vale,Metropolitana de Belo Horizonte,20,0,0,0,0,0,30,840,0,0,0,1000,27,0,96,0,229,0,0,0,0,9
3106507,Berilo,Jequitinhonha,0,1190,0,9,0,0,132,5,0,2,2,3535,43,0,37,0,273,0,0,0,0,16
3106606,Bertópolis,Vale do Mucuri,0,15,0,0,0,0,5,0,0,0,0,175,52,0,0,0,73,0,0,0,0,0
3106655,Berizal,Norte de Minas,0,0,0,0,0,0,34,0,0,182,182,400,78,0,10,0,58,0,0,0,0,0
3106705,Betim,Metropolitana de Belo Horizonte,0,0,4,2,0,0,36,12,0,0,0,1472,30,0,0,0,115,0,0,150,0,0
3106804,Bias Fortes,Zona da Mata,0,0,0,0,0,0,0,0,0,0,0,120,20,0,0,0,170,0,0,0,0,0
3106903,Bicas,Zona da Mata,0,0,0,0,0,0,0,0,0,0,0,1080,4,0,0,0,2,0,0,0,0,0
3107000,Biquinhas,Central Mineira,0,30,0,0,0,0,14,0,0,0,0,600,0,0,10,7,750,0,0,0,0,0
3107109,Boa Esperança,Sul/Sudoeste de Minas,0,0,0,3,8,624,70,0,0,26570,26570,360,1176,0,0,0,35850,13300,0,0,3510,15
3107208,Bocaina de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,10,0,0,0,0,0,576,18,0,0,0,152,0,0,0,0,0
3107307,Bocaiúva,Norte de Minas,8,60,8,5,67,0,1106,5,0,243,243,26700,430,0,35,9,2584,0,0,150,0,12
3107406,Bom Despacho,Central Mineira,0,0,72,0,12,0,48,0,0,0,0,117600,1020,0,1800,0,8850,5208,0,0,0,0
3107505,Bom Jardim de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,0,0,270,15,0,0,0,120,0,0,360,0,0
3107604,Bom Jesus da Penha,Sul/Sudoeste de Minas,80,0,0,0,2,108,0,0,510,4700,4700,0,48,0,0,0,15050,12540,1525,41,540,0
3107703,Bom Jesus do Amparo,Metropolitana de Belo Horizonte,0,0,0,0,0,0,1800,0,0,3,3,3111,1,0,0,0,102,0,0,0,0,0
3107802,Bom Jesus do Galho,Vale do Rio Doce,0,0,0,11,6,0,390,0,0,1400,1400,9000,119,0,13,5,1600,0,0,0,0,0
3107901,Bom Repouso,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,39,17940,17,17,0,7,0,0,0,1400,0,0,100,0,0
3108008,Bom Sucesso,Oeste de Minas,0,0,0,0,0,0,0,0,0,3655,3655,1000,6,0,27,0,825,0,0,0,0,0
3108107,Bonfim,Metropolitana de Belo Horizonte,140,0,0,0,3,0,9,70,18,0,0,2900,9,0,168,300,310,0,0,0,0,0
3108206,Bonfinópolis de Minas,Noroeste de Minas,0,0,0,0,0,0,3,0,0,1500,1500,120,16190,0,0,0,75900,71280,0,0,0,0
3108255,Bonito de Minas,Norte de Minas,0,0,0,0,120,0,4,0,0,0,0,4000,153,0,0,0,50,0,0,0,0,0
3108305,Borda da Mata,Sul/Sudoeste de Minas,0,0,0,0,86,0,620,0,0,1016,1016,477,22,0,10,17,1962,288,0,0,0,0
3108404,Botelhos,Sul/Sudoeste de Minas,0,0,0,0,0,25,800,0,0,11850,11850,3212,43,0,0,0,5856,0,0,0,0,0
3108503,Botumirim,Norte de Minas,0,45,6,11,7,0,81,0,0,12,12,1650,115,0,13,0,347,0,0,30,0,0
3108552,Brasilândia de Minas,Noroeste de Minas,0,144,0,0,9,0,0,0,0,0,0,30380,6030,0,0,23,34650,11448,0,0,0,22
3108602,Brasília de Minas,Norte de Minas,0,0,130,3,4,0,0,0,0,0,0,7000,60,0,4,0,450,0,136,0,0,0
3108701,Brás Pires,Zona da Mata,0,0,0,0,7,0,0,0,90,0,0,1250,203,0,0,0,608,0,0,0,0,0
3108800,Braúnas,Vale do Rio Doce,0,0,0,3,0,0,125,0,0,5,5,1230,45,0,0,0,180,0,0,30,0,0
3108909,Brazópolis,Sul/Sudoeste de Minas,0,0,0,0,0,0,8600,7,0,320,320,70,9,0,129,0,192,0,0,30,0,0
3109006,Brumadinho,Metropolitana de Belo Horizonte,13,0,0,0,0,0,60,93,0,0,0,6500,21,0,1860,33,230,0,0,241,0,0
3109105,Bueno Brandão,Sul/Sudoeste de Minas,28,0,5,0,0,0,350,0,23760,2400,2400,2640,96,0,0,0,3339,0,0,0,6,16
3109204,Buenópolis,Central Mineira,0,0,0,0,5,0,5,0,0,0,0,22200,42,0,12,0,510,0,1312,355,0,0
3109253,Bugre,Vale do Rio Doce,0,0,0,0,0,0,582,0,0,0,0,142,0,0,0,185,22,0,0,1311,0,0
3109303,Buritis,Noroeste de Minas,0,0,0,0,32,0,90,30,0,815,815,3300,22696,0,3671,51,167400,329650,14117,30,1641,0
3109402,Buritizeiro,Norte de Minas,0,0,0,0,8,0,232,0,0,3300,3300,340,2751,0,770,11,64315,68697,0,0,0,20
3109451,Cabeceira Grande,Noroeste de Minas,0,0,0,0,0,0,0,3325,0,0,0,60,6420,0,0,59,67100,50050,240,0,0,0
3109501,Cabo Verde,Sul/Sudoeste de Minas,0,0,0,0,92,344,48,0,450,14620,14620,30400,342,0,0,0,6294,138,0,0,228,0
3109600,Cachoeira da Prata,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,8,0,0,0,0,0
3109709,Cachoeira de Minas,Sul/Sudoeste de Minas,7,0,0,0,2,0,102,0,750,1675,1675,2940,77,0,0,0,4536,0,0,186,0,6
3109808,Cachoeira Dourada,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,25226,29520,8680,0,0,0
3109907,Caetanópolis,Metropolitana de Belo Horizonte,0,0,0,0,0,0,24,0,0,0,0,1720,5,0,0,16,108,0,0,0,0,0
3110004,Caeté,Metropolitana de Belo Horizonte,0,0,0,1,0,0,1631,0,0,29,29,1500,34,0,48,0,200,0,0,0,0,0
3110103,Caiana,Zona da Mata,0,0,0,0,0,0,185,0,0,4782,4782,210,48,0,0,0,251,0,0,0,0,0
3110202,Cajuri,Zona da Mata,0,0,0,1,0,0,270,0,0,900,900,2000,420,0,60,15,3300,0,0,2400,0,0
3110301,Caldas,Sul/Sudoeste de Minas,0,0,0,0,0,352,130,280,12600,1618,1618,0,900,0,0,0,9221,1118,0,41,330,530
3110400,Camacho,Oeste de Minas,0,0,0,0,0,0,24,0,0,1985,1985,40,40,0,0,0,672,0,0,0,0,0
3110509,Camanducaia,Sul/Sudoeste de Minas,0,0,0,0,0,0,34,0,17932,0,0,60,9,0,0,0,880,0,0,100,0,0
3110608,Cambuí,Sul/Sudoeste de Minas,0,0,0,0,0,0,74,0,311,8,8,813,20,0,0,0,1296,0,0,150,0,3
3110707,Cambuquira,Sul/Sudoeste de Minas,194,0,0,0,0,70,28,0,0,4410,4410,320,41,0,1430,0,15647,3722,0,76,2066,0
3110806,Campanário,Vale do Rio Doce,0,0,0,0,0,0,6,0,0,0,0,2900,7,0,0,0,96,0,0,0,0,0
3110905,Campanha,Sul/Sudoeste de Minas,3,0,0,0,0,0,12,0,100,7780,7780,750,47,0,10940,0,11633,6751,0,0,954,0
3111002,Campestre,Sul/Sudoeste de Minas,11,0,0,0,1,96,1240,5,1820,21060,21060,850,312,0,831,0,11604,620,0,665,0,6
3111101,Campina Verde,Triângulo Mineiro/Alto Paranaíba,0,15,0,0,3,0,34,0,0,0,0,684000,0,0,23080,0,10996,18523,2128,0,0,2
3111150,Campo Azul,Norte de Minas,0,0,0,3,0,0,0,0,0,0,0,396,25,0,0,0,141,0,0,0,0,0
3111200,Campo Belo,Oeste de Minas,0,0,0,0,0,0,100,8,0,4620,4620,12000,491,0,60,60,15000,0,0,1320,0,0
3111309,Campo do Meio,Sul/Sudoeste de Minas,0,0,0,15,29,0,178,0,0,9590,9590,0,1110,0,0,8,12270,3800,0,0,493,0
3111408,Campo Florido,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,6,0,0,0,0,0,0,2682000,2450,0,3600,21,50800,48000,11375,0,0,0
3111507,Campos Altos,Triângulo Mineiro/Alto Paranaíba,1794,0,10098,0,0,0,0,0,25800,14540,14540,225,540,0,0,0,58350,12210,0,0,3890,30
3111606,Campos Gerais,Sul/Sudoeste de Minas,230,50,0,0,126,97,49,0,2400,28085,28085,1200,3136,0,6,0,29880,5676,0,1700,54,10
3111705,Canaã,Zona da Mata,0,0,0,0,0,0,120,0,0,3150,3150,3200,372,0,0,5,3320,0,0,180,0,7
3111804,Canápolis,Triângulo Mineiro/Alto Paranaíba,0,40800,0,0,0,0,1622,0,0,0,0,560000,330,0,1152,0,16050,68000,10815,0,0,0
3111903,Cana Verde,Oeste de Minas,0,0,0,0,0,0,50,0,0,630,630,200,38,0,0,0,1624,0,0,0,0,0
3112000,Candeias,Oeste de Minas,0,0,0,0,0,0,140,0,0,8004,8004,2250,2712,0,150,0,28080,0,0,0,0,0
3112059,Cantagalo,Vale do Rio Doce,0,0,0,0,9,0,285,0,0,0,0,2520,30,0,0,0,190,0,0,0,0,0
3112109,Caparaó,Zona da Mata,0,0,0,0,0,0,0,0,0,6680,6680,50,16,0,0,0,264,0,0,0,0,0
3112208,Capela Nova,Campo das Vertentes,0,0,0,0,28,0,0,0,0,349,349,2880,450,0,0,0,2400,0,0,0,0,0
3112307,Capelinha,Jequitinhonha,0,108,15,20,5,0,1863,10,0,5100,5100,9500,282,0,306,6,2640,0,0,2231,0,7
3112406,Capetinga,Sul/Sudoeste de Minas,0,0,0,0,0,0,16,0,0,7610,7610,8400,457,0,0,0,9884,1408,0,0,0,0
3112505,Capim Branco,Metropolitana de Belo Horizonte,0,0,40,0,0,0,0,0,0,0,0,0,15,0,0,0,240,0,0,400,0,0
3112604,Capinópolis,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,70,0,0,0,0,132000,66,0,0,0,86150,116634,40740,0,0,60
3112653,Capitão Andrade,Vale do Rio Doce,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,30,0,0,0,0,0
3112703,Capitão Enéas,Norte de Minas,0,0,0,0,0,0,11640,0,0,6,6,6000,187,0,45,75,410,0,40,0,0,0
3112802,Capitólio,Sul/Sudoeste de Minas,0,12,0,0,0,0,48,0,0,2961,2961,1050,288,0,51,0,4389,533,0,0,0,0
3112901,Caputira,Zona da Mata,40,0,0,0,0,0,22,0,0,3000,3000,1450,54,0,0,0,288,0,0,0,0,0
3113008,Caraí,Jequitinhonha,0,40,4,4,5,0,230,4,0,358,358,2700,133,0,43,0,110,0,0,45,0,0
3113107,Caranaíba,Campo das Vertentes,0,0,0,0,0,0,22,0,0,9,9,1540,49,0,12,0,570,0,0,0,0,80
3113206,Carandaí,Campo das Vertentes,25,0,420,0,0,20,32,13,475,0,0,1210,4826,0,0,36,36030,1245,0,7650,2257,2
3113305,Carangola,Zona da Mata,0,0,0,0,0,0,3580,0,0,5060,5060,860,33,0,0,0,395,0,0,0,0,0
3113404,Caratinga,Vale do Rio Doce,39,0,0,17,6,0,5051,200,0,13460,13460,15000,189,0,120,54,5643,0,0,1800,0,0
3113503,Carbonita,Jequitinhonha,0,0,3,7,0,0,26,0,0,0,0,4180,45,0,9,0,300,0,0,555,0,0
3113602,Careaçu,Sul/Sudoeste de Minas,0,0,0,0,60,0,24,10,1240,1972,1972,495,216,0,0,0,2390,60,0,0,0,8
3113701,Carlos Chagas,Vale do Mucuri,0,15,0,0,0,0,20,0,0,0,0,5340,9,0,14,0,36,0,0,0,0,0
3113800,Carmésia,Vale do Rio Doce,0,0,0,0,0,0,0,0,0,0,0,750,12,0,0,0,80,0,0,0,0,0
3113909,Carmo da Cachoeira,Sul/Sudoeste de Minas,5249,0,0,0,12,0,0,0,1050,17400,17400,0,210,0,110,0,11868,4400,0,0,0,0
3114006,Carmo da Mata,Oeste de Minas,0,0,0,0,0,0,6,0,0,1000,1000,4370,43,0,0,0,2781,436,0,0,0,0
3114105,Carmo de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,0,1440,0,0,5476,5476,525,105,0,0,0,16500,2300,0,0,800,0
3114204,Carmo do Cajuru,Oeste de Minas,0,0,0,1,0,0,16,0,0,0,0,1800,27,0,4,0,675,0,0,2430,0,0
3114303,Carmo do Paranaíba,Triângulo Mineiro/Alto Paranaíba,9,0,0,0,0,0,33,0,0,16470,16470,532,1695,0,0,740,17100,6019,720,420,0,0
3114402,Carmo do Rio Claro,Sul/Sudoeste de Minas,0,70,0,0,5,136,16,0,0,16745,16745,72320,4455,0,2448,0,45660,17520,3960,0,0,0
3114501,Carmópolis de Minas,Oeste de Minas,935,0,0,0,0,0,64,0,0,225,225,3920,215,0,255,90,1860,0,0,22800,0,0
3114550,Carneirinho,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,90,0,0,0,0,965120,0,0,0,0,2940,0,0,0,0,0
3114600,Carrancas,Campo das Vertentes,0,0,0,0,10,20,0,400,4200,47,47,912,1116,0,0,90,14820,6624,0,0,2640,0
3114709,Carvalhópolis,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,12,0,2485,2485,180,131,0,0,0,1225,22,0,53,0,0
3114808,Carvalhos,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,0,0,130,12,0,0,0,192,0,0,0,0,0
3114907,Casa Grande,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,0,34,34,0,2257,0,0,0,11775,317,0,652,1458,0
3115003,Cascalho Rico,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,0,0,0,760,760,380,0,0,0,16,1488,1225,720,2310,0,0
3115102,Cássia,Sul/Sudoeste de Minas,0,0,0,0,0,0,1020,0,0,7200,7200,50816,176,0,0,0,16470,8378,1053,0,0,0
3115201,Conceição da Barra de Minas,Campo das Vertentes,0,0,0,0,2,0,0,0,0,376,376,424,23,0,0,0,79,648,0,0,15,0
3115300,Cataguases,Zona da Mata,0,0,0,0,0,0,67,0,0,4,4,3515,2,0,10,0,46,0,0,0,0,0
3115359,Catas Altas,Metropolitana de Belo Horizonte,0,0,0,0,0,0,49,0,0,0,0,2050,5,0,6,0,44,0,0,0,0,15
3115409,Catas Altas da Noruega,Metropolitana de Belo Horizonte,0,0,0,1,6,0,150,0,0,7,7,2000,147,0,150,0,960,0,0,0,0,0
3115458,Catuji,Vale do Mucuri,0,20,0,0,0,0,77,0,0,33,33,1540,11,0,6,0,76,0,0,0,0,0
3115474,Catuti,Norte de Minas,0,0,0,0,0,0,0,20,0,0,0,20,51,0,0,0,48,0,255,0,0,0
3115508,Caxambu,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,54,54,37,2,0,0,10,445,0,0,0,0,0
3115607,Cedro do Abaeté,Central Mineira,0,0,0,0,0,0,0,0,0,0,0,923,5,0,0,0,650,0,0,0,0,0
3115706,Central de Minas,Vale do Rio Doce,0,0,0,0,50,0,8,0,0,23,3,520,13,0,0,0,30,0,0,0,0,0
3115805,Centralina,Triângulo Mineiro/Alto Paranaíba,0,19250,0,0,0,0,3250,0,0,0,0,864000,1418,38,0,0,23250,39002,32850,0,0,0
3115904,Chácara,Zona da Mata,0,0,0,0,0,0,37,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0
3116001,Chalé,Zona da Mata,0,0,0,0,0,0,48,0,0,2860,2860,3300,45,0,0,0,540,0,0,0,0,0
3116100,Chapada do Norte,Jequitinhonha,0,45,6,9,0,0,60,0,0,2,2,3780,35,0,5,0,446,0,0,0,0,0
3116159,Chapada Gaúcha,Norte de Minas,0,450,0,0,11,0,20,0,0,0,0,600,178,0,0,0,2610,33697,480,0,0,0
3116209,Chiador,Zona da Mata,0,0,0,0,0,0,0,0,0,0,0,660,1,0,0,0,5,0,0,0,0,0
3116308,Cipotânea,Zona da Mata,0,0,0,5,2,0,502,0,0,0,0,60,224,0,0,0,1809,0,0,0,0,0
3116407,Claraval,Sul/Sudoeste de Minas,0,0,0,0,3,0,77,0,0,3270,3270,8064,4,0,0,0,1288,0,0,0,0,0
3116506,Claro dos Poções,Norte de Minas,0,0,0,0,0,0,2560,0,0,3,3,17040,150,0,0,14,1486,0,52,30,0,0
3116605,Cláudio,Oeste de Minas,100,0,0,0,3,0,10,0,0,248,248,3452,95,0,0,0,3052,1406,0,350,0,0
3116704,Coimbra,Zona da Mata,0,0,0,0,0,0,450,0,0,725,725,756,967,0,60,0,4560,0,0,6400,0,0
3116803,Coluna,Vale do Rio Doce,0,0,0,0,1,0,640,0,0,4,4,5300,87,0,0,0,444,0,0,0,0,0
3116902,Comendador Gomes,Triângulo Mineiro/Alto Paranaíba,0,5700,0,0,0,0,0,0,0,0,0,464900,0,0,202400,0,15360,3080,240,0,0,0
3117009,Comercinho,Jequitinhonha,0,6,0,0,14,0,12,0,0,3,3,1248,52,0,26,0,110,0,0,0,0,0
3117108,Conceição da Aparecida,Sul/Sudoeste de Minas,0,0,0,0,3,0,0,0,0,15930,15930,102,14,900,0,0,5380,2080,0,31,0,0
3117207,Conceição das Pedras,Sul/Sudoeste de Minas,0,0,0,0,0,0,677,0,695,1190,1190,180,0,0,45,0,203,0,0,620,0,0
3117306,Conceição das Alagoas,Triângulo Mineiro/Alto Paranaíba,880,0,0,0,0,0,0,0,0,49,49,3440000,2915,0,7875,0,96000,93960,25000,0,0,0
3117405,Conceição de Ipanema,Vale do Rio Doce,0,0,0,0,200,0,158,0,0,850,850,448,38,0,20,0,140,0,0,0,0,0
3117504,Conceição do Mato Dentro,Metropolitana de Belo Horizonte,0,17,0,2,2,0,840,0,0,16,16,3700,57,0,0,0,345,0,0,0,0,0
3117603,Conceição do Pará,Oeste de Minas,0,0,0,0,0,0,4,0,0,0,0,1900,11,0,0,0,400,0,0,0,0,0
3117702,Conceição do Rio Verde,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,4732,4732,60,5,0,0,0,24960,14987,0,180,4288,0
3117801,Conceição dos Ouros,Sul/Sudoeste de Minas,0,0,0,0,0,0,11,2,0,264,264,30,18,0,0,0,1800,777,0,2450,0,8
