uf,nome_uf,nome_meso,micro,nome_micro,mun,cod_mun_c,nome_mun,dist,distrito,nome_distrito
26,Pernambuco,Mata Pernambucana,015,Mata Meridional Pernambucana,00401,2600401,água preta,05,260040105,água preta
31,Minas Gerais,Vale do Mucuri,016,Nanuque,00906,3100906,águas formosas,07,310090607,água quente
35,São Paulo,Metropolitana de São Paulo,061,São Paulo,50308,3550308,são paulo,01,355030801,água rasa
43,Rio Grande do Sul,Noroeste Rio-grandense,010,Passo Fundo,00059,4300059,água santa,05,430005905,água santa
31,Minas Gerais,Zona da Mata,063,Muriaé,69208,3169208,tombos,07,316920807,água santa de minas
23,Ceará,Metropolitana de Fortaleza,016,Fortaleza,04954,2304954,guaiúba,10,230495410,água verde
35,São Paulo,Araraquara,025,São Carlos,48906,3548906,são carlos,10,354890610,água vermelha
31,Minas Gerais,Zona da Mata,066,Cataguases,24609,3124609,estrela dalva,10,312460910,água viva
23,Ceará,Norte Cearense,010,Uruburetama,06306,2306306,itapajé,07,230630607,aguaí
35,São Paulo,Campinas,029,Pirassununga,00303,3500303,aguaí,05,350030305,aguaí
31,Minas Gerais,Oeste de Minas,045,Campo Belo,00807,3100807,aguanil,05,310080705,aguanil
51,Mato Grosso,Sudoeste Mato-grossense,012,Alto Guaporé,05507,5105507,vila bela da santíssima trindade,10,510550710,aguapeí
43,Rio Grande do Sul,Metropolitana de Porto Alegre,027,Osório,13508,4313508,osório,11,431350811,aguapés
31,Minas Gerais,Jequitinhonha,013,Pedra Azul,02704,3102704,cachoeira de pajeú,10,310270410,águas altas
23,Ceará,Sertões Cearenses,019,Sertão de Quixeramobim,02404,2302404,boa viagem,07,230240407,águas belas
26,Pernambuco,Agreste Pernambucano,007,Vale do Ipanema,00500,2600500,águas belas,05,260050005,águas belas
42,Santa Catarina,Serrana,010,Campos de Lages,18905,4218905,urubici,10,421890510,águas brancas
32,Espírito Santo,Noroeste Espírito-santense,002,Nova Venécia,00136,3200136,águia branca,10,320013610,águas claras
43,Rio Grande do Sul,Metropolitana de Porto Alegre,026,Porto Alegre,23002,4323002,viamão,10,432300210,águas claras
51,Mato Grosso,Norte Mato-grossense,005,Arinos,05101,5105101,juara,10,510510110,águas claras
35,São Paulo,Campinas,030,São João da Boa Vista,00402,3500402,águas da prata,05,350040205,águas da prata
42,Santa Catarina,Oeste Catarinense,002,Chapecó,00507,4200507,águas de chapecó,05,420050705,águas de chapecó
31,Minas Gerais,Sul/Sudoeste de Minas,054,São Lourenço,17702,3117702,conceição do rio verde,10,311770210,águas de contendas
41,Paraná,Centro Ocidental Paranaense,005,Campo Mourão,10805,4110805,iretama,06,411080506,águas de jurema
35,São Paulo,Campinas,033,Amparo,00501,3500501,águas de lindóia,05,350050105,águas de lindóia
50,Mato Grosso do Sul,Sudoeste de Mato Grosso do Sul,009,Bodoquena,02209,5002209,bonito,10,500220910,águas de miranda
35,São Paulo,Bauru,022,Avaré,00550,3500550,águas de santa bárbara,05,350055005,águas de santa bárbara
35,São Paulo,Piracicaba,028,Piracicaba,00600,3500600,águas de são pedro,05,350060005,águas de são pedro
29,Bahia,Vale São-Franciscano da Bahia,007,Bom Jesus da Lapa,23704,2923704,paratinga,10,292370410,águas do paulista
31,Minas Gerais,Zona da Mata,060,Ponte Nova,64001,3164001,são pedro dos ferros,10,316400110,águas férreas
31,Minas Gerais,Vale do Mucuri,016,Nanuque,00906,3100906,águas formosas,05,310090605,águas formosas
42,Santa Catarina,Oeste Catarinense,002,Chapecó,00556,4200556,águas frias,05,420055605,águas frias
52,Goiás,Leste Goiano,012,Entorno de Brasília,00258,5200258,águas lindas de goiás,05,520025805,águas lindas de goiás
42,Santa Catarina,Grande Florianópolis,017,Tabuleiro,00606,4200606,águas mornas,05,420060605,águas mornas
31,Minas Gerais,Norte de Minas,005,Salinas,01003,3101003,águas vermelhas,05,310100305,águas vermelhas
35,São Paulo,Assis,040,Ourinhos,54201,3554201,tejupá,10,355420110,águas virtuosas
43,Rio Grande do Sul,Centro Ocidental Rio-grandense,019,Restinga Seca,00109,4300109,agudo,05,430010905,agudo
35,São Paulo,Bauru,020,Bauru,00709,3500709,agudos,05,350070905,agudos
41,Paraná,Metropolitana de Curitiba,039,Rio Negro,00301,4100301,agudos do sul,05,410030105,agudos do sul
32,Espírito Santo,Noroeste Espírito-santense,002,Nova Venécia,00136,3200136,águia branca,05,320013605,águia branca
25,Paraíba,Sertão Paraibano,005,Piancó,00205,2500205,aguiar,05,250020505,aguiar
17,Tocantins,Ocidental do Tocantins,001,Bico do Papagaio,00301,1700301,aguiarnópolis,05,170030105,aguiarnópolis
35,São Paulo,Ribeirão Preto,013,Jaboticabal,15608,3515608,fernando prestes,10,351560810,agulha
33,Rio de Janeiro,Sul Fluminense,011,Vale do Paraíba Fluminense,04201,3304201,resende,10,330420110,agulhas negras
42,Santa Catarina,Grande Florianópolis,015,Tijucas,11504,4211504,nova trento,10,421150410,aguti
31,Minas Gerais,Vale do Rio Doce,041,Aimorés,01102,3101102,aimorés,05,310110205,aimorés
29,Bahia,Centro Sul Baiano,024,Jequié,00603,2900603,aiquara,05,290060305,aiquara
26,Pernambuco,São Francisco Pernambucano,006,Itaparica,05707,2605707,floresta,10,260570710,airi
32,Espírito Santo,Sul Espírito-santense,012,Cachoeiro de Itapemirim,04807,3204807,são josé do calçado,10,320480710,airituba
31,Minas Gerais,Zona da Mata,062,Viçosa,48301,3148301,paula cândido,10,314830110,airões
23,Ceará,Noroeste Cearense,005,Sobral,08005,2308005,massapê,10,230800510,aiuá
23,Ceará,Sertões Cearenses,020,Sertão de Inhamuns,00408,2300408,aiuaba,05,230040805,aiuaba
42,Santa Catarina,Sul Catarinense,018,Tubarão,06108,4206108,grão pará,10,420610810,aiurê
31,Minas Gerais,Sul/Sudoeste de Minas,055,Andrelândia,01201,3101201,aiuruoca,05,310120105,aiuruoca
35,São Paulo,Piracicaba,026,Rio Claro,43907,3543907,rio claro,10,354390710,ajapi
43,Rio Grande do Sul,Noroeste Rio-grandense,008,Ijuí,00208,4300208,ajuricaba,05,430020805,ajuricaba
31,Minas Gerais,Sul/Sudoeste de Minas,054,São Lourenço,01300,3101300,alagoa,05,310130005,alagoa
25,Paraíba,Agreste Paraibano,015,Brejo Paraibano,00304,2500304,alagoa grande,05,250030405,alagoa grande
25,Paraíba,Agreste Paraibano,015,Brejo Paraibano,00403,2500403,alagoa nova,05,250040305,alagoa nova
23,Ceará,Sul Cearense,029,Chapada do Araripe,01307,2301307,araripe,10,230130710,alagoinha
25,Paraíba,Agreste Paraibano,016,Guarabira,00502,2500502,alagoinha,05,250050205,alagoinha
26,Pernambuco,Agreste Pernambucano,008,Vale do Ipojuca,00609,2600609,alagoinha,05,260060905,alagoinha
22,Piauí,Sudeste Piauiense,014,Pio IX,00251,2200251,alagoinha do piauí,05,220025105,alagoinha do piauí
29,Bahia,Nordeste Baiano,017,Alagoinhas,00702,2900702,alagoinhas,05,290070205,alagoinhas
35,São Paulo,Itapetininga,042,Itapetininga,00758,3500758,alambari,05,350075805,alambari
23,Ceará,Noroeste Cearense,006,Ipu,05902,2305902,ipueiras,07,230590207,alazans
43,Rio Grande do Sul,Centro Oriental Rio-grandense,022,Cachoeira do Sul,15701,4315701,rio pardo,10,431570110,albardão
31,Minas Gerais,Sul/Sudoeste de Minas,051,Poços de Caldas,01409,3101409,albertina,05,310140905,albertina
31,Minas Gerais,Central Mineira,026,Bom Despacho,40506,3140506,martinho campos,10,314050610,alberto isaacson
35,São Paulo,Ribeirão Preto,009,Barretos,05500,3505500,barretos,10,350550010,alberto moreira
31,Minas Gerais,Oeste de Minas,044,Formiga,26109,3126109,formiga,10,312610910,albertos
50,Mato Grosso do Sul,Pantanais Sul Mato-grossense,001,Baixo Pantanal,03207,5003207,corumbá,10,500320710,albuquerque
26,Pernambuco,Sertão Pernambucano,004,Sertão do Moxotó,14105,2614105,sertânia,10,261410510,albuquerque né
21,Maranhão,Norte Maranhense,001,Litoral Ocidental Maranhense,00204,2100204,alcântara,05,210020405,alcântara
23,Ceará,Noroeste Cearense,004,Meruoca,00507,2300507,alcântaras,05,230050705,alcântaras
25,Paraíba,Borborema,011,Cariri Oriental,00536,2500536,alcantil,05,250053605,alcantil
51,Mato Grosso,Sudeste Mato-grossense,020,Tesouro,04203,5104203,guiratinga,10,510420310,alcantilado
50,Mato Grosso do Sul,Centro Norte de Mato Grosso do Sul,003,Alto Taquari,00252,5000252,alcinópolis,05,500025205,alcinópolis
29,Bahia,Sul Baiano,032,Porto Seguro,00801,2900801,alcobaça,05,290080105,alcobaça
31,Minas Gerais,Vale do Rio Doce,041,Aimorés,20839,3120839,cuparaque,10,312083910,aldeia
35,São Paulo,Metropolitana de São Paulo,057,Osasco,05708,3505708,barueri,10,350570810,aldeia
51,Mato Grosso,Centro-Sul Mato-grossense,016,Rosário Oeste,00102,5100102,acorizal,10,510010210,aldeia
