ibge7,meso,nome_meso,micro,nome_micro,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,existe_conselho_saude,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,existe_conselho_educ,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,perc_energia,perc_banagua,perc_esgoto,perc_lixo,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup,perc_rdpc_140,fam_pbf,tx_emp_form,rend_pc_form,pib_pc,perc_agro,perc_serv,tx_ativ_18m
3149903,3109,Oeste de Minas,31045,Campo Belo,Perdões,60.61,0.0,19.58,11.36,Sim,9.1,39.8,26.29,56.9,90.3,Sim,49.7,19.9,4.9,Não,100.0,98.67,86.12,99.5,20140,9875,10212,43.33,88.5,1.64,78.0,663.06,1137.87,7.45,1063,24.0,141.75,14477.04,21.32,40.18,62.85
3149952,3108,Vale do Rio Doce,31039,Ipatinga,Periquito,171.82,53.73,0.0,20.2,Sim,22.5,30.8,18.71,54.4,100.0,Sim,71.0,170.5,28.4,Não,98.51,95.09,65.4,75.98,7030,3452,3584,60.09,75.17,2.12,75.0,320.07,626.1,23.57,844,10.9,57.87,6454.34,30.02,34.46,52.47
3150000,3108,Vale do Rio Doce,31037,Governador Valadares,Pescador,91.74,0.0,0.0,0.0,Sim,25.7,27.6,18.45,45.4,100.0,Sim,0.0,72.6,24.2,Não,98.63,94.3,67.95,96.91,4129,2045,2083,61.14,78.95,2.32,75.0,367.74,789.51,30.26,415,13.6,66.62,7459.65,33.52,38.41,50.11
3150109,3112,Zona da Mata,31065,Juiz de Fora,Piau,0.0,0.0,0.0,0.0,Sim,16.1,25.1,17.1,42.4,100.0,Sim,35.2,35.2,0.0,Não,100.0,97.96,55.49,99.43,2844,1490,1351,45.07,58.78,1.85,74.0,449.68,681.68,13.26,222,18.7,106.55,11886.31,44.22,30.78,61.52
3150158,3108,Vale do Rio Doce,31040,Caratinga,Piedade de Caratinga,107.64,0.0,28.89,17.54,Sim,22.4,17.3,8.09,40.8,100.0,Sim,28.1,56.2,14.0,Não,99.96,99.5,64.3,99.7,7101,3649,3461,53.37,64.73,2.55,71.0,381.36,623.99,21.55,655,10.6,57.06,6095.81,61.01,16.86,65.51
3150208,3112,Zona da Mata,31060,Ponte Nova,Piedade de Ponte Nova,0.0,0.0,0.0,19.23,Não,20.4,22.9,16.09,39.9,100.0,Sim,24.6,24.6,24.6,Não,99.93,99.66,83.17,98.43,4063,1992,2070,51.62,78.24,2.56,73.0,368.71,649.51,13.59,289,16.0,82.49,7467.42,32.26,31.98,58.73
3150307,3111,Campo das Vertentes,31058,São João Del Rei,Piedade do Rio Grande,0.0,0.0,0.0,20.0,Sim,16.5,23.7,14.66,52.4,100.0,Sim,0.0,0.0,0.0,Não,99.73,95.27,49.03,93.95,4709,2385,2314,48.9,73.84,1.85,74.0,428.95,539.31,19.21,345,16.3,80.75,38305.77,48.5,29.13,59.14
3150406,3107,Metropolitana de Belo Horizonte,31032,Itaguara,Piedade dos Gerais,0.0,0.0,0.0,62.5,Sim,17.5,19.7,10.57,44.6,100.0,Sim,107.7,21.5,21.5,Não,99.47,85.22,,99.01,4645,2417,2223,47.01,45.74,1.67,75.0,443.35,608.04,18.59,499,9.0,75.28,6642.66,59.47,22.79,62.93
3150505,3109,Oeste de Minas,31044,Formiga,Pimenta,0.0,0.0,0.0,21.05,Sim,10.5,29.1,17.0,53.3,100.0,Sim,36.4,0.0,0.0,Não,100.0,98.89,78.32,99.18,8236,4243,3993,40.03,84.32,1.56,75.0,613.61,927.52,5.71,681,21.0,118.45,13083.81,42.01,34.84,71.07
3150539,3108,Vale do Rio Doce,31040,Caratinga,Pingo D' Água,0.0,0.0,0.0,17.24,Sim,21.7,23.4,15.76,57.1,100.0,Sim,22.6,45.2,0.0,Não,98.45,98.88,88.9,98.49,4420,2199,2221,51.24,91.29,2.21,70.0,340.91,614.59,24.37,387,25.5,111.54,6175.38,42.23,30.58,56.96
3150570,3102,Norte de Minas,31003,Januária,Pintópolis,0.0,0.0,0.0,0.0,Sim,23.9,20.9,11.39,30.0,100.0,Sim,0.0,13.8,0.0,Não,95.99,62.38,0.13,80.57,7215,3778,3433,62.31,35.11,2.81,73.0,260.14,445.71,41.84,1033,9.1,39.13,5019.24,49.02,23.87,57.29
3150604,3109,Oeste de Minas,31046,Oliveira,Piracema,70.13,0.0,31.52,0.0,Sim,14.2,26.1,16.47,46.3,100.0,Sim,0.0,31.2,0.0,Não,99.34,95.87,46.37,99.44,6406,3233,3173,46.39,47.36,1.43,74.0,444.75,664.6,12.87,427,15.0,80.25,9871.81,45.58,30.46,57.19
3150703,3105,Triângulo Mineiro/Alto Paranaíba,31021,Frutal,Pirajuba,0.0,0.0,0.0,35.71,Sim,10.8,42.6,23.9,24.5,100.0,Sim,85.9,42.9,21.4,Não,99.56,99.34,86.5,100.0,4664,2545,2111,42.88,88.72,2.56,76.0,838.37,1389.48,6.13,211,55.3,643.43,38289.33,18.48,32.69,65.62
3150802,3112,Zona da Mata,31062,Viçosa,Piranga,21.45,21.27,0.0,15.63,Sim,14.9,20.3,11.67,29.1,100.0,Sim,23.2,17.4,5.8,Não,98.55,95.01,27.6,98.22,17230,8648,8584,53.77,34.58,1.72,73.0,305.73,485.27,37.75,1892,10.0,52.64,5169.87,45.46,27.32,51.27
3150901,3110,Sul/Sudoeste de Minas,31056,Itajubá,Piranguçu,160.77,0.0,0.0,41.67,Sim,13.2,32.7,20.62,40.5,100.0,Sim,19.1,0.0,0.0,Não,99.17,97.76,49.76,100.0,5219,2676,2483,45.98,33.97,1.55,73.0,504.1,759.24,9.33,424,12.8,88.08,7541.47,30.21,31.65,64.07
3151008,3110,Sul/Sudoeste de Minas,31056,Itajubá,Piranguinho,50.66,0.0,0.0,34.09,Sim,9.5,42.6,28.63,53.1,100.0,Sim,37.4,24.9,0.0,Não,100.0,98.58,56.95,99.48,8016,4066,3950,47.91,61.79,1.82,75.0,523.5,833.35,13.14,412,14.7,74.06,6407.79,22.48,32.73,66.39
3151107,3112,Zona da Mata,31066,Cataguases,Pirapetinga,38.26,0.0,57.05,7.04,Sim,10.5,46.2,31.58,31.8,100.0,Sim,38.6,38.6,9.6,Não,99.96,98.9,86.58,99.26,10366,5105,5259,41.72,87.82,2.22,75.0,550.3,896.56,8.22,735,31.2,217.54,28274.35,10.04,40.23,61.22
3151206,3102,Norte de Minas,31006,Pirapora,Pirapora,33.47,12.74,7.35,12.11,Sim,8.9,54.5,38.56,53.0,84.5,Sim,281.0,18.7,1.8,Sim,99.61,97.57,14.43,98.23,53379,25767,26928,45.79,98.16,2.42,75.0,596.44,987.18,13.06,3844,34.8,245.53,19774.95,10.98,42.66,68.88
3151305,3112,Zona da Mata,31064,Ubá,Piraúba,0.0,0.0,18.44,7.52,Sim,11.6,31.5,20.98,30.2,100.0,Sim,82.8,18.4,9.2,Não,99.22,99.69,78.73,98.4,10866,5439,5423,44.73,81.15,1.68,76.0,527.81,744.43,3.56,739,23.3,109.01,6605.22,15.13,28.6,64.34
3151404,3107,Metropolitana de Belo Horizonte,31029,Pará de Minas,Pitangui,15.25,14.93,23.5,14.29,Sim,7.6,45.5,32.73,52.1,100.0,Sim,134.3,15.8,0.0,Não,100.0,88.84,86.96,99.36,25339,12521,12739,45.74,89.38,2.05,77.0,669.0,1056.32,7.07,836,25.0,150.7,10126.18,12.66,36.58,68.24
3151503,3109,Oeste de Minas,31042,Piuí,Piumhi,37.73,24.02,6.24,14.45,Sim,8.5,39.1,25.48,56.6,89.9,Sim,21.9,12.5,9.4,Não,99.92,99.15,87.72,99.78,31885,15850,16033,42.11,89.59,1.72,78.0,747.2,1136.57,3.84,1513,29.5,165.85,18851.07,23.74,36.27,70.26
3151602,3105,Triângulo Mineiro/Alto Paranaíba,31021,Frutal,Planura,68.21,0.0,20.27,0.0,Sim,10.4,40.6,23.87,30.4,100.0,Sim,86.6,48.1,9.6,Não,98.61,99.0,93.28,98.97,10393,5451,4933,41.96,97.18,2.29,76.0,669.6,1095.99,5.32,516,13.5,129.88,34186.59,24.26,35.38,69.2
3151701,3110,Sul/Sudoeste de Minas,31049,Alfenas,Poço Fundo,27.2,0.0,12.91,0.0,Sim,8.4,25.8,16.97,42.0,100.0,Sim,18.8,18.8,6.2,Não,99.55,99.4,54.85,99.23,15961,8213,7746,43.31,58.16,2.02,77.0,644.47,935.47,6.26,575,13.8,79.34,10611.91,52.78,22.93,70.45
3151800,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,Poços de Caldas,23.45,10.39,13.97,9.34,Sim,4.4,56.9,40.09,52.3,100.0,Sim,53.7,9.1,5.2,Não,99.92,98.57,97.05,99.89,152496,73668,78745,40.47,97.56,1.69,77.0,953.96,1364.19,2.93,2992,41.7,382.96,24079.16,4.61,46.85,71.23
3151909,3108,Vale do Rio Doce,31041,Aimorés,Pocrane,0.0,90.7,0.0,12.99,Sim,22.7,24.7,13.69,51.4,100.0,Sim,0.0,55.6,33.3,Não,99.49,94.72,55.37,97.44,8998,4515,4471,50.97,60.08,2.21,73.0,365.67,515.74,25.52,1131,5.4,43.46,6475.93,48.58,30.89,54.28
3152006,3106,Central Mineira,31024,Três Marias,Pompéu,38.22,12.15,13.82,12.35,Não,12.3,37.3,22.58,43.8,100.0,Sim,41.2,44.6,20.6,Não,98.73,91.9,72.55,99.0,29083,14638,14467,48.22,88.44,2.33,75.0,598.83,1063.64,10.03,1927,27.4,170.0,14901.99,19.43,37.35,69.34
3152105,3112,Zona da Mata,31060,Ponte Nova,Ponte Nova,20.79,26.62,20.07,10.45,Sim,8.5,45.4,32.68,43.3,100.0,Sim,202.1,48.7,8.7,Não,99.59,98.16,83.62,98.72,57361,26860,29145,42.57,89.19,1.76,76.0,679.67,1064.35,10.47,3415,36.5,231.07,13715.94,7.97,45.66,66.64
3152131,3102,Norte de Minas,31007,Montes Claros,Ponto Chique,0.0,0.0,51.36,0.0,Não,21.0,29.5,20.91,21.7,100.0,Sim,0.0,0.0,0.0,Não,97.65,62.77,0.96,86.17,3966,2019,1947,55.73,65.08,2.31,73.0,269.28,434.04,33.26,552,9.9,42.29,6836.19,41.04,37.78,74.5
3152170,3103,Jequitinhonha,31012,Araçuaí,Ponto dos Volantes,72.73,0.0,0.0,17.75,Sim,35.9,21.2,12.42,38.0,12.3,Sim,17.6,44.0,35.2,Não,96.44,62.01,5.56,92.87,11345,5797,5548,68.78,35.53,2.68,72.0,267.46,388.89,40.44,1466,12.3,56.02,4824.63,55.51,25.19,62.93
3152204,3102,Norte de Minas,31004,Janaúba,Porteirinha,56.45,0.0,10.64,9.65,Sim,27.4,27.8,18.4,58.2,83.9,Não,45.1,31.8,7.9,Não,98.49,69.43,16.09,89.05,37638,18828,18799,45.98,51.39,1.83,73.0,320.48,493.26,32.0,4696,7.7,44.16,4679.91,44.48,29.53,62.25
3152303,3112,Zona da Mata,31062,Viçosa,Porto Firme,37.65,0.0,19.55,0.0,Sim,16.6,26.1,14.95,46.8,100.0,Sim,76.8,48.0,0.0,Não,99.25,93.19,40.43,100.0,10410,5303,5114,45.37,46.38,1.64,73.0,366.49,502.62,23.3,1209,9.4,52.87,5379.04,46.9,27.81,59.21
3152402,3104,Vale do Mucuri,31015,Teófilo Otoni,Poté,51.44,72.76,0.0,4.78,Sim,32.2,22.9,15.83,29.2,100.0,Sim,51.0,63.8,25.5,Não,97.99,77.51,33.75,85.66,15668,7719,7948,61.26,59.6,2.63,74.0,303.44,431.79,31.29,1780,8.6,46.31,5282.34,48.21,26.91,60.09
3152501,3110,Sul/Sudoeste de Minas,31052,Pouso Alegre,Pouso Alegre,11.53,0.0,16.64,11.42,Sim,4.9,57.8,41.57,47.9,96.8,Sim,93.4,16.8,2.3,Não,99.92,99.0,89.36,99.73,130586,64519,66096,39.8,91.56,1.81,77.0,878.26,1320.38,4.1,2570,44.7,403.26,23302.77,7.12,41.44,71.71
3152600,3110,Sul/Sudoeste de Minas,31054,São Lourenço,Pouso Alto,70.57,0.0,0.0,13.33,Sim,10.3,30.2,17.92,52.7,100.0,Sim,48.2,16.1,0.0,Não,99.39,97.91,46.17,96.46,6213,3135,3078,43.83,58.88,2.13,76.0,778.57,1252.19,10.41,382,31.7,194.68,14099.42,31.77,30.76,60.87
3152709,3111,Campo das Vertentes,31058,São João Del Rei,Prados,0.0,0.0,0.0,28.57,Sim,8.1,31.6,20.51,40.2,100.0,Sim,23.8,11.9,0.0,Não,99.42,98.53,75.49,94.1,8395,4139,4101,44.46,70.74,1.73,77.0,485.2,750.18,13.4,241,19.2,102.23,8239.86,21.59,27.58,59.6
3152808,3105,Triângulo Mineiro/Alto Paranaíba,31018,Uberlândia,Prata,45.88,29.08,15.96,11.94,Sim,11.8,35.0,17.93,44.1,95.5,Sim,127.9,65.8,15.5,Não,99.36,97.05,73.36,96.86,25805,13273,12529,43.63,75.11,2.4,76.0,782.28,1243.08,3.06,1483,29.1,209.13,19817.52,31.59,29.46,70.13
3152907,3110,Sul/Sudoeste de Minas,31047,Passos,Pratápolis,0.0,0.0,0.0,10.75,Sim,10.5,38.8,26.71,46.1,100.0,Sim,56.7,0.0,0.0,Não,99.73,99.62,84.4,99.08,8808,4456,4351,46.5,88.49,2.0,77.0,636.81,914.3,5.86,513,18.2,109.44,13875.35,23.65,38.2,59.9
