ibge7,mun,nome_meso,abacaxi,alho,amendoim,azeitona,batata_inglesa,cafe_arab,cana,ervilha,feijao,girassol,laranja,marmelo,sorgo,tomate
3105400,Barão de Cocais,Metropolitana de Belo Horizonte,0,0,0,0,0,2,2700,0,3,0,0,0,0,0
3105509,Barão de Monte Alto,Zona da Mata,0,0,0,0,0,0,282,0,5,0,0,0,0,0
3105608,Barbacena,Campo das Vertentes,0,33,0,18,1160,0,180,5,1021,0,510,0,0,9620
3105707,Barra Longa,Zona da Mata,0,0,0,0,0,0,17580,0,67,0,0,0,0,0
3105905,Barroso,Campo das Vertentes,0,0,0,0,0,0,1240,0,24,0,0,0,0,0
3106002,Bela Vista de Minas,Metropolitana de Belo Horizonte,0,0,0,0,0,0,282,0,2,0,0,0,0,0
3106101,Belmiro Braga,Zona da Mata,0,0,0,0,0,0,779,0,8,0,10,0,0,0
3106200,Belo Horizonte,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106309,Belo Oriente,Vale do Rio Doce,0,0,2,0,0,0,2700,0,36,0,2,0,0,0
3106408,Belo Vale,Metropolitana de Belo Horizonte,0,0,0,0,0,0,1000,0,27,0,96,0,0,0
3106507,Berilo,Jequitinhonha,1190,0,9,0,0,2,3535,0,43,0,37,0,0,0
3106606,Bertópolis,Vale do Mucuri,15,0,0,0,0,0,175,0,52,0,0,0,0,0
3106655,Berizal,Norte de Minas,0,0,0,0,0,182,400,0,78,0,10,0,0,0
3106705,Betim,Metropolitana de Belo Horizonte,0,4,2,0,0,0,1472,0,30,0,0,0,0,150
3106804,Bias Fortes,Zona da Mata,0,0,0,0,0,0,120,0,20,0,0,0,0,0
3106903,Bicas,Zona da Mata,0,0,0,0,0,0,1080,0,4,0,0,0,0,0
3107000,Biquinhas,Central Mineira,30,0,0,0,0,0,600,0,0,0,10,0,0,0
3107109,Boa Esperança,Sul/Sudoeste de Minas,0,0,3,0,0,26570,360,0,1176,0,0,0,0,0
3107208,Bocaina de Minas,Sul/Sudoeste de Minas,0,0,0,1,0,0,576,0,18,0,0,0,0,0
3107307,Bocaiúva,Norte de Minas,60,8,5,0,0,243,26700,0,430,0,35,0,0,150
3107406,Bom Despacho,Central Mineira,0,72,0,0,0,0,117600,0,1020,0,1800,0,0,0
3107505,Bom Jardim de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,0,270,0,15,0,0,0,0,360
3107604,Bom Jesus da Penha,Sul/Sudoeste de Minas,0,0,0,0,510,4700,0,0,48,0,0,0,1525,41
3107703,Bom Jesus do Amparo,Metropolitana de Belo Horizonte,0,0,0,0,0,3,3111,0,1,0,0,0,0,0
3107802,Bom Jesus do Galho,Vale do Rio Doce,0,0,11,0,0,1400,9000,0,119,0,13,0,0,0
3107901,Bom Repouso,Sul/Sudoeste de Minas,0,0,0,0,17940,17,0,0,7,0,0,0,0,100
3108008,Bom Sucesso,Oeste de Minas,0,0,0,0,0,3655,1000,0,6,0,27,0,0,0
3108107,Bonfim,Metropolitana de Belo Horizonte,0,0,0,0,18,0,2900,0,9,0,168,0,0,0
3108206,Bonfinópolis de Minas,Noroeste de Minas,0,0,0,0,0,1500,120,0,16190,0,0,0,0,0
3108255,Bonito de Minas,Norte de Minas,0,0,0,0,0,0,4000,0,153,0,0,0,0,0
3108305,Borda da Mata,Sul/Sudoeste de Minas,0,0,0,0,0,1016,477,0,22,0,10,0,0,0
3108404,Botelhos,Sul/Sudoeste de Minas,0,0,0,0,0,11850,3212,0,43,0,0,0,0,0
3108503,Botumirim,Norte de Minas,45,6,11,0,0,12,1650,0,115,0,13,0,0,30
3108552,Brasilândia de Minas,Noroeste de Minas,144,0,0,0,0,0,30380,0,6030,0,0,0,0,0
3108602,Brasília de Minas,Norte de Minas,0,130,3,0,0,0,7000,0,60,0,4,0,136,0
3108701,Brás Pires,Zona da Mata,0,0,0,0,90,0,1250,0,203,0,0,0,0,0
3108800,Braúnas,Vale do Rio Doce,0,0,3,0,0,5,1230,0,45,0,0,0,0,30
3108909,Brazópolis,Sul/Sudoeste de Minas,0,0,0,6,0,320,70,0,9,0,129,0,0,30
3109006,Brumadinho,Metropolitana de Belo Horizonte,0,0,0,0,0,0,6500,0,21,0,1860,0,0,241
3109105,Bueno Brandão,Sul/Sudoeste de Minas,0,5,0,0,23760,2400,2640,36,96,0,0,0,0,0
3109204,Buenópolis,Central Mineira,0,0,0,0,0,0,22200,0,42,0,12,0,1312,355
3109253,Bugre,Vale do Rio Doce,0,0,0,0,0,0,142,0,0,0,0,0,0,1311
3109303,Buritis,Noroeste de Minas,0,0,0,0,0,815,3300,0,22696,0,3671,0,14117,30
3109402,Buritizeiro,Norte de Minas,0,0,0,0,0,3300,340,0,2751,0,770,0,0,0
3109451,Cabeceira Grande,Noroeste de Minas,0,0,0,0,0,0,60,0,6420,0,0,0,240,0
3109501,Cabo Verde,Sul/Sudoeste de Minas,0,0,0,0,450,14620,30400,0,342,0,0,0,0,0
3109600,Cachoeira da Prata,Metropolitana de Belo Horizonte,0,0,0,0,0,0,120,0,0,0,0,0,0,0
3109709,Cachoeira de Minas,Sul/Sudoeste de Minas,0,0,0,0,750,1675,2940,0,77,0,0,0,0,186
3109808,Cachoeira Dourada,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,0,0,0,0,0,0,8680,0
3109907,Caetanópolis,Metropolitana de Belo Horizonte,0,0,0,0,0,0,1720,0,5,0,0,0,0,0
3110004,Caeté,Metropolitana de Belo Horizonte,0,0,1,0,0,29,1500,0,34,0,48,0,0,0
3110103,Caiana,Zona da Mata,0,0,0,0,0,4782,210,0,48,0,0,0,0,0
3110202,Cajuri,Zona da Mata,0,0,1,0,0,900,2000,0,420,0,60,0,0,2400
3110301,Caldas,Sul/Sudoeste de Minas,0,0,0,7,12600,1618,0,0,900,0,0,0,0,41
3110400,Camacho,Oeste de Minas,0,0,0,0,0,1985,40,0,40,0,0,0,0,0
3110509,Camanducaia,Sul/Sudoeste de Minas,0,0,0,25,17932,0,60,24,9,0,0,0,0,100
3110608,Cambuí,Sul/Sudoeste de Minas,0,0,0,0,311,8,813,0,20,0,0,0,0,150
3110707,Cambuquira,Sul/Sudoeste de Minas,0,0,0,0,0,4410,320,0,41,0,1430,0,0,76
3110806,Campanário,Vale do Rio Doce,0,0,0,0,0,0,2900,0,7,0,0,0,0,0
3110905,Campanha,Sul/Sudoeste de Minas,0,0,0,0,100,7780,750,0,47,0,10940,0,0,0
3111002,Campestre,Sul/Sudoeste de Minas,0,0,0,0,1820,21060,850,0,312,0,831,0,0,665
3111101,Campina Verde,Triângulo Mineiro/Alto Paranaíba,15,0,0,0,0,0,684000,0,0,0,23080,0,2128,0
3111150,Campo Azul,Norte de Minas,0,0,3,0,0,0,396,0,25,0,0,0,0,0
3111200,Campo Belo,Oeste de Minas,0,0,0,0,0,4620,12000,0,491,0,60,0,0,1320
3111309,Campo do Meio,Sul/Sudoeste de Minas,0,0,15,0,0,9590,0,0,1110,0,0,0,0,0
3111408,Campo Florido,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,2682000,0,2450,0,3600,0,11375,0
3111507,Campos Altos,Triângulo Mineiro/Alto Paranaíba,0,10098,0,0,25800,14540,225,0,540,0,0,0,0,0
3111606,Campos Gerais,Sul/Sudoeste de Minas,50,0,0,0,2400,28085,1200,0,3136,0,6,0,0,1700
3111705,Canaã,Zona da Mata,0,0,0,0,0,3150,3200,0,372,0,0,0,0,180
3111804,Canápolis,Triângulo Mineiro/Alto Paranaíba,40800,0,0,0,0,0,560000,0,330,0,1152,0,10815,0
3111903,Cana Verde,Oeste de Minas,0,0,0,0,0,630,200,0,38,0,0,0,0,0
3112000,Candeias,Oeste de Minas,0,0,0,0,0,8004,2250,0,2712,0,150,0,0,0
3112059,Cantagalo,Vale do Rio Doce,0,0,0,0,0,0,2520,0,30,0,0,0,0,0
3112109,Caparaó,Zona da Mata,0,0,0,0,0,6680,50,0,16,0,0,0,0,0
3112208,Capela Nova,Campo das Vertentes,0,0,0,0,0,349,2880,0,450,0,0,0,0,0
3112307,Capelinha,Jequitinhonha,108,15,20,0,0,5100,9500,0,282,0,306,0,0,2231
3112406,Capetinga,Sul/Sudoeste de Minas,0,0,0,0,0,7610,8400,0,457,0,0,0,0,0
3112505,Capim Branco,Metropolitana de Belo Horizonte,0,40,0,0,0,0,0,0,15,0,0,0,0,400
3112604,Capinópolis,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,132000,0,66,0,0,0,40740,0
3112653,Capitão Andrade,Vale do Rio Doce,0,0,0,0,0,0,1260,0,2,0,0,0,0,0
3112703,Capitão Enéas,Norte de Minas,0,0,0,0,0,6,6000,0,187,0,45,0,40,0
3112802,Capitólio,Sul/Sudoeste de Minas,12,0,0,0,0,2961,1050,0,288,0,51,0,0,0
3112901,Caputira,Zona da Mata,0,0,0,0,0,3000,1450,0,54,0,0,0,0,0
3113008,Caraí,Jequitinhonha,40,4,4,0,0,358,2700,0,133,0,43,0,0,45
3113107,Caranaíba,Campo das Vertentes,0,0,0,0,0,9,1540,0,49,0,12,0,0,0
3113206,Carandaí,Campo das Vertentes,0,420,0,0,475,0,1210,0,4826,0,0,0,0,7650
3113305,Carangola,Zona da Mata,0,0,0,0,0,5060,860,0,33,0,0,0,0,0
3113404,Caratinga,Vale do Rio Doce,0,0,17,0,0,13460,15000,0,189,0,120,0,0,1800
3113503,Carbonita,Jequitinhonha,0,3,7,0,0,0,4180,0,45,0,9,0,0,555
3113602,Careaçu,Sul/Sudoeste de Minas,0,0,0,0,1240,1972,495,0,216,0,0,0,0,0
3113701,Carlos Chagas,Vale do Mucuri,15,0,0,0,0,0,5340,0,9,0,14,0,0,0
3113800,Carmésia,Vale do Rio Doce,0,0,0,0,0,0,750,0,12,0,0,0,0,0
3113909,Carmo da Cachoeira,Sul/Sudoeste de Minas,0,0,0,0,1050,17400,0,0,210,0,110,0,0,0
3114006,Carmo da Mata,Oeste de Minas,0,0,0,0,0,1000,4370,0,43,0,0,0,0,0
3114105,Carmo de Minas,Sul/Sudoeste de Minas,0,0,0,0,0,5476,525,0,105,0,0,0,0,0
3114204,Carmo do Cajuru,Oeste de Minas,0,0,1,0,0,0,1800,0,27,0,4,0,0,2430
3114303,Carmo do Paranaíba,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,16470,532,0,1695,0,0,0,720,420
3114402,Carmo do Rio Claro,Sul/Sudoeste de Minas,70,0,0,0,0,16745,72320,0,4455,0,2448,0,3960,0
3114501,Carmópolis de Minas,Oeste de Minas,0,0,0,0,0,225,3920,0,215,0,255,0,0,22800
3114550,Carneirinho,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,965120,0,0,0,0,0,0,0
3114600,Carrancas,Campo das Vertentes,0,0,0,0,4200,47,912,0,1116,0,0,0,0,0
3114709,Carvalhópolis,Sul/Sudoeste de Minas,0,0,0,0,0,2485,180,0,131,0,0,0,0,53
3114808,Carvalhos,Sul/Sudoeste de Minas,0,0,0,0,0,0,130,0,12,0,0,0,0,0
3114907,Casa Grande,Metropolitana de Belo Horizonte,0,0,0,0,0,34,0,0,2257,0,0,0,0,652
3115003,Cascalho Rico,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,760,380,0,0,0,0,0,720,2310
3115102,Cássia,Sul/Sudoeste de Minas,0,0,0,0,0,7200,50816,0,176,0,0,0,1053,0
3115201,Conceição da Barra de Minas,Campo das Vertentes,0,0,0,0,0,376,424,0,23,0,0,0,0,0
3115300,Cataguases,Zona da Mata,0,0,0,0,0,4,3515,0,2,0,10,0,0,0
3115359,Catas Altas,Metropolitana de Belo Horizonte,0,0,0,0,0,0,2050,0,5,0,6,0,0,0
3115409,Catas Altas da Noruega,Metropolitana de Belo Horizonte,0,0,1,0,0,7,2000,0,147,0,150,0,0,0
3115458,Catuji,Vale do Mucuri,20,0,0,0,0,33,1540,0,11,0,6,0,0,0
3115474,Catuti,Norte de Minas,0,0,0,0,0,0,20,0,51,0,0,0,255,0
3115508,Caxambu,Sul/Sudoeste de Minas,0,0,0,0,0,54,37,0,2,0,0,0,0,0
3115607,Cedro do Abaeté,Central Mineira,0,0,0,0,0,0,923,0,5,0,0,0,0,0
3115706,Central de Minas,Vale do Rio Doce,0,0,0,0,0,3,520,0,13,0,0,0,0,0
3115805,Centralina,Triângulo Mineiro/Alto Paranaíba,19250,0,0,0,0,0,864000,0,1418,38,0,0,32850,0
3115904,Chácara,Zona da Mata,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3116001,Chalé,Zona da Mata,0,0,0,0,0,2860,3300,0,45,0,0,0,0,0
3116100,Chapada do Norte,Jequitinhonha,45,6,9,0,0,2,3780,0,35,0,5,0,0,0
3116159,Chapada Gaúcha,Norte de Minas,450,0,0,0,0,0,600,0,178,0,0,0,480,0
3116209,Chiador,Zona da Mata,0,0,0,0,0,0,660,0,1,0,0,0,0,0
3116308,Cipotânea,Zona da Mata,0,0,5,0,0,0,60,0,224,0,0,0,0,0
3116407,Claraval,Sul/Sudoeste de Minas,0,0,0,0,0,3270,8064,0,4,0,0,0,0,0
3116506,Claro dos Poções,Norte de Minas,0,0,0,0,0,3,17040,0,150,0,0,0,52,30
3116605,Cláudio,Oeste de Minas,0,0,0,0,0,248,3452,0,95,0,0,0,0,350
3116704,Coimbra,Zona da Mata,0,0,0,0,0,725,756,0,967,0,60,0,0,6400
3116803,Coluna,Vale do Rio Doce,0,0,0,0,0,4,5300,0,87,0,0,0,0,0
3116902,Comendador Gomes,Triângulo Mineiro/Alto Paranaíba,5700,0,0,0,0,0,464900,0,0,0,202400,0,240,0
3117009,Comercinho,Jequitinhonha,6,0,0,0,0,3,1248,0,52,0,26,0,0,0
3117108,Conceição da Aparecida,Sul/Sudoeste de Minas,0,0,0,0,0,15930,102,0,14,900,0,0,0,31
3117207,Conceição das Pedras,Sul/Sudoeste de Minas,0,0,0,0,695,1190,180,0,0,0,45,0,0,620
3117306,Conceição das Alagoas,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,49,3440000,0,2915,0,7875,0,25000,0
3117405,Conceição de Ipanema,Vale do Rio Doce,0,0,0,0,0,850,448,0,38,0,20,0,0,0
3117504,Conceição do Mato Dentro,Metropolitana de Belo Horizonte,17,0,2,0,0,16,3700,0,57,0,0,0,0,0
3117603,Conceição do Pará,Oeste de Minas,0,0,0,0,0,0,1900,0,11,0,0,0,0,0
3117702,Conceição do Rio Verde,Sul/Sudoeste de Minas,0,0,0,0,0,4732,60,0,5,0,0,0,0,180
3117801,Conceição dos Ouros,Sul/Sudoeste de Minas,0,0,0,0,0,264,30,0,18,0,0,0,0,2450
3117836,Cônego Marinho,Norte de Minas,0,0,0,0,0,0,5900,0,64,0,0,0,0,0
3117876,Confins,Metropolitana de Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3117900,Congonhal,Sul/Sudoeste de Minas,0,0,0,0,3900,452,350,0,67,0,0,0,0,0
3118007,Congonhas,Metropolitana de Belo Horizonte,0,0,0,0,0,14,156,0,89,0,5,0,0,0
3118106,Congonhas do Norte,Metropolitana de Belo Horizonte,0,0,0,0,0,18,4200,0,17,0,0,0,0,0
3118205,Conquista,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,1736520,0,192,0,0,0,24000,0
3118304,Conselheiro Lafaiete,Metropolitana de Belo Horizonte,0,0,0,0,207,0,2100,0,153,0,0,0,0,140
3118403,Conselheiro Pena,Vale do Rio Doce,0,0,0,0,0,5502,1568,0,33,0,390,0,0,0
3118502,Consolação,Sul/Sudoeste de Minas,0,0,0,0,0,3,0,0,12,0,0,0,0,0
3118601,Contagem,Metropolitana de Belo Horizonte,0,0,0,0,0,0,30,0,0,0,0,0,0,0
3118700,Coqueiral,Sul/Sudoeste de Minas,0,0,0,0,0,6270,1935,0,486,0,0,0,0,0
3118809,Coração de Jesus,Norte de Minas,0,50,0,0,0,0,28600,0,291,0,78,0,49,1300
3118908,Cordisburgo,Metropolitana de Belo Horizonte,0,0,0,0,0,0,2808,0,3,0,0,0,0,320
3119005,Cordislândia,Sul/Sudoeste de Minas,0,0,0,0,375,2520,90,0,23,0,0,0,0,0
3119104,Corinto,Central Mineira,100,0,0,0,0,0,11400,0,19,0,0,0,366,0
3119203,Coroaci,Vale do Rio Doce,0,0,3,0,0,78,3140,0,24,0,0,0,32,80
3119302,Coromandel,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,850,10630,342,302,5730,0,0,0,6614,21200
3119401,Coronel Fabriciano,Vale do Rio Doce,0,0,0,0,0,0,135,0,6,0,0,0,0,0
3119500,Coronel Murta,Jequitinhonha,0,0,0,0,0,0,2700,0,36,0,8,0,0,0
3119609,Coronel Pacheco,Zona da Mata,0,0,0,0,0,0,0,0,10,0,0,0,0,0
3119708,Coronel Xavier Chaves,Campo das Vertentes,0,0,0,0,0,0,3800,0,267,0,0,0,0,110
3119807,Córrego Danta,Oeste de Minas,0,0,0,0,0,1930,414,0,2,0,63,0,0,0
3119906,Córrego do Bom Jesus,Sul/Sudoeste de Minas,0,0,0,0,480,0,0,5,3,0,4,0,0,76
3119955,Córrego Fundo,Oeste de Minas,0,0,3,0,0,25,5150,0,42,0,0,0,0,1024
3120003,Córrego Novo,Vale do Rio Doce,0,0,0,0,0,50,6650,0,9,0,0,0,0,0
3120102,Couto de Magalhães de Minas,Jequitinhonha,10,0,0,0,0,0,770,0,10,0,11,0,0,0
3120151,Crisólita,Vale do Mucuri,20,0,0,0,0,0,1200,0,78,0,0,0,0,0
3120201,Cristais,Oeste de Minas,0,0,0,0,0,7483,60000,0,360,0,10,0,1140,0
3120300,Cristália,Norte de Minas,30,0,10,0,0,2,2460,0,86,0,7,0,0,0
3120409,Cristiano Otoni,Metropolitana de Belo Horizonte,0,0,0,0,400,0,400,0,312,0,0,0,0,175
3120508,Cristina,Sul/Sudoeste de Minas,0,0,0,76,3960,1409,0,0,198,0,0,0,0,360
3120607,Crucilândia,Metropolitana de Belo Horizonte,0,0,0,0,0,0,14768,0,10,0,0,0,0,320
3120706,Cruzeiro da Fortaleza,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,1200,1448,0,0,0,0,0,0,444,0
3120805,Cruzília,Sul/Sudoeste de Minas,0,0,0,0,0,72,2270,0,396,0,0,0,0,0
3120839,Cuparaque,Vale do Rio Doce,0,0,0,0,0,104,9300,0,1,0,5,0,0,0
3120870,Curral de Dentro,Norte de Minas,0,0,0,0,0,31,96,0,37,0,15,0,23,0
3120904,Curvelo,Central Mineira,20,0,0,0,0,0,19200,0,125,0,0,0,0,165
3121001,Datas,Jequitinhonha,0,8,0,0,1950,3,360,0,108,0,7,0,0,0
3121100,Delfim Moreira,Sul/Sudoeste de Minas,0,0,0,41,1000,0,187,2,16,0,0,0,0,250
3121209,Delfinópolis,Sul/Sudoeste de Minas,0,0,0,0,0,297,189800,0,862,0,0,0,7252,30
3121258,Delta,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,419040,0,0,0,0,0,264,0
3121308,Descoberto,Zona da Mata,0,0,0,0,0,1,2520,0,6,0,0,0,0,0
3121407,Desterro de Entre Rios,Metropolitana de Belo Horizonte,0,0,0,0,0,312,4606,0,250,0,8,0,0,80
3121506,Desterro do Melo,Campo das Vertentes,0,0,0,0,0,2,600,0,294,0,0,0,0,50
3121605,Diamantina,Jequitinhonha,60,11,7,0,0,540,6000,0,189,0,18,0,0,0
3121704,Diogo de Vasconcelos,Metropolitana de Belo Horizonte,0,0,1,0,0,0,600,0,50,0,0,0,0,0
3121803,Dionísio,Metropolitana de Belo Horizonte,0,0,1,0,0,3,1950,0,47,0,0,0,0,0
3121902,Divinésia,Zona da Mata,0,0,0,0,0,230,1650,0,82,0,0,0,0,200
3122009,Divino,Zona da Mata,0,0,0,0,0,9630,660,0,156,0,0,0,0,0
3122108,Divino das Laranjeiras,Vale do Rio Doce,0,0,0,0,0,0,4580,0,11,0,0,0,0,0
3122207,Divinolândia de Minas,Vale do Rio Doce,0,0,1,0,0,30,1575,0,84,0,0,0,0,0
3122306,Divinópolis,Oeste de Minas,18,0,1,0,0,0,1400,0,30,0,21,0,5,160
3122355,Divisa Alegre,Norte de Minas,30,0,0,0,0,144,0,0,10,0,0,0,0,0
3122405,Divisa Nova,Sul/Sudoeste de Minas,0,0,0,0,750,3832,72680,0,258,0,1910,0,0,0
3122454,Divisópolis,Jequitinhonha,15,0,0,0,0,745,1500,0,94,0,14,0,0,0
3122470,Dom Bosco,Noroeste de Minas,0,0,0,0,0,0,8350,0,1830,0,0,0,224,0
3122504,Dom Cavati,Vale do Rio Doce,0,0,1,0,0,14,420,0,11,0,10,0,0,0
3122603,Dom Joaquim,Metropolitana de Belo Horizonte,0,0,0,0,0,0,2900,0,41,0,0,0,0,0
3122702,Dom Silvério,Zona da Mata,0,0,0,0,0,0,1180,0,11,0,0,0,0,0
3122801,Dom Viçoso,Sul/Sudoeste de Minas,0,0,0,0,130,407,160,0,8,0,0,0,0,0
3122900,Dona Eusébia,Zona da Mata,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3123007,Dores de Campos,Campo das Vertentes,0,0,0,0,0,0,425,0,87,0,0,0,0,20
3123106,Dores de Guanhães,Vale do Rio Doce,0,0,0,0,0,0,22400,0,55,0,0,0,0,0
3123205,Dores do Indaiá,Central Mineira,0,0,0,0,0,0,2200,0,38,0,0,0,120,0
3123304,Dores do Turvo,Zona da Mata,0,0,0,0,0,38,7836,0,186,0,0,0,0,0
