mun,nome_mun,nome_micro,nome_meso,sigla_uf,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
2900801,Alcobaça,Porto Seguro,Sul Baiano,BA,0,0,312,0,948,67,0,65,11050,63,0,0
2900900,Almadina,Ilhéus-Itabuna,Sul Baiano,BA,0,0,3000,0,1500,21,0,0,700,29,0,0
2901007,Amargosa,Jequié,Centro Sul Baiano,BA,0,0,2500,50,2450,24,0,210,2800,16,0,150
2901106,Amélia Rodrigues,Catu,Metropolitana de Salvador,BA,0,0,250,0,56,15,0,20,1000,20,0,0
2901155,América Dourada,Irecê,Centro Norte Baiano,BA,0,0,60,0,0,260,0,0,20,1000,0,9000
2901205,Anagé,Vitória da Conquista,Centro Sul Baiano,BA,0,0,300,0,450,80,0,0,150,50,0,0
2901304,Andaraí,Seabra,Centro Sul Baiano,BA,0,0,0,0,0,29,0,0,3000,50,0,30
2901353,Andorinha,Senhor do Bonfim,Centro Norte Baiano,BA,0,0,0,0,0,22,0,0,10,51,0,0
2901403,Angical,Cotegipe,Extremo Oeste Baiano,BA,0,0,60,0,3000,150,0,0,9000,10480,0,0
2901502,Anguera,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,108,0,0,0,84,0,0
2901601,Antas,Ribeira do Pombal,Nordeste Baiano,BA,0,0,0,0,0,100,60,0,20,440,0,0
2901700,Antônio Cardoso,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,72,60,0,50,160,0,0
2901809,Antônio Gonçalves,Senhor do Bonfim,Centro Norte Baiano,BA,0,0,350,2,270,15,20,0,500,25,0,0
2901908,Aporá,Alagoinhas,Nordeste Baiano,BA,0,0,13,0,0,148,0,5500,1380,2200,0,0
2901957,Apuarema,Jequié,Centro Sul Baiano,BA,0,0,650,0,200,5,0,10,180,0,0,0
2902005,Aracatu,Brumado,Centro Sul Baiano,BA,70,0,0,0,0,270,0,0,120,50,0,4500
2902054,Araçás,Alagoinhas,Nordeste Baiano,BA,0,0,312,0,76,26,0,840,875,40,0,0
2902104,Araci,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,178,0,0,6000,343,0,0
2902203,Aramari,Alagoinhas,Nordeste Baiano,BA,0,0,11,0,0,124,0,1320,602,299,0,0
2902252,Arataca,Ilhéus-Itabuna,Sul Baiano,BA,0,0,600,0,0,0,0,0,40,0,0,0
2902302,Aratuípe,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,700,0,650,4,0,260,9250,3,0,0
2902401,Aurelino Leal,Ilhéus-Itabuna,Sul Baiano,BA,0,0,3100,0,0,0,0,0,1200,20,0,0
2902500,Baianópolis,Barreiras,Extremo Oeste Baiano,BA,10825,0,310,0,1200,2218,0,0,363,6088,44822,0
2902609,Baixa Grande,Itaberaba,Centro Norte Baiano,BA,0,0,0,0,0,172,0,0,0,0,0,0
2902658,Banzaê,Ribeira do Pombal,Nordeste Baiano,BA,0,0,0,0,0,240,0,0,120,80,0,0
2902708,Barra,Barra,Vale São-Franciscano da Bahia,BA,0,0,200,0,10500,76,0,0,200,107,0,0
2902807,Barra da Estiva,Seabra,Centro Sul Baiano,BA,0,0,1500,10000,0,590,0,240,3000,80,0,900
