mun,nome_mun,sigla_uf,abacaxi,acai,algodao,alho,amendoim,arroz,aveia,azeitona,banana,batata_doce,batata,cacau,cafe,caju,cana,caqui,castanha_caju,cebola,centeio,cevada,coco,erva_mate,ervilha,fava,feijao,figo,fumo,girassol_grao,goiaba,laranja,limao,maca,mamao,mamona,mandioca,manga,maracuja,marmelo,melancia,melao,milho,noz,palmito,pera,pessego,soja,sorgo,tangerina,tomate,trigo,uva
1101468,Pimenteiras do Oeste,RO,81,0,0,0,1,9000,0,0,152,0,0,0,0,0,120,0,0,0,0,0,64,0,0,0,0,0,0,0,0,45,0,0,0,0,592,0,0,0,120,0,66007,0,0,0,0,113100,0,0,0,0,0
1101476,Primavera de Rondônia,RO,20,20,0,0,1,264,0,0,384,0,0,2,586,0,1600,0,0,0,0,0,0,0,0,0,31,0,0,0,0,17,5,0,1,0,1440,0,0,0,360,0,264,0,0,0,0,0,0,3,8,0,0
1101484,São Felipe D'Oeste,RO,38,9,0,0,9,18,0,0,1058,0,0,32,207,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,7,32,4,0,82,0,980,0,45,0,75,0,2580,0,2,0,0,547,0,0,140,0,0
1101492,São Francisco do Guaporé,RO,45,0,0,0,0,4640,0,0,56,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,2000,0,0,0,0,2100,0,0,0,0,6
1101500,Seringueiras,RO,150,0,0,0,0,1742,0,0,85,0,0,1,2054,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,60,0,0,0,1020,0,180,0,240,0,2760,0,0,0,0,10263,0,0,22,0,0
1101559,Teixeirópolis,RO,0,0,0,0,0,0,0,0,185,0,0,25,20,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,0,0,0,178,0,96,0,0,0,0,0,0,0,576,0,0
1101609,Theobroma,RO,125,0,0,0,0,14,0,0,1200,0,0,211,318,0,1625,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,24420,0,12,0,742,0,4537,0,0,0,0,1788,0,0,0,0,0
1101708,Urupá,RO,10,0,0,0,1,2,0,0,185,0,0,110,204,0,276,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,24,0,1782,0,18,0,52,0,370,0,0,0,0,0,0,0,24,0,0
1101757,Vale do Anari,RO,52,16,0,0,2,1719,0,0,850,0,0,22,354,0,50,0,0,0,0,0,8,0,0,0,3,0,0,0,0,8,0,0,5,0,9750,0,60,0,360,0,770,0,0,0,0,240,0,0,0,0,0
1101807,Vale do Paraíso,RO,0,0,0,0,0,0,0,0,157,0,0,126,243,0,1200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,600,0,20,0,36,0,90,0,0,0,0,0,0,0,30,0,0
