mun;municipio;ano;algodao;arroz;banana;cafe;cana;feijao;fumo;laranja;mandioca;milho;soja;tomate
5103007;Chapada dos Guimarães (MT);2008;8100;288;0;0;1050;16;0;0;2640;41586;26420;210
5103056;Cláudia (MT);2008;1188;9408;0;0;0;562;0;0;300;50084;76455;64
5103106;Cocalinho (MT);2008;0;810;0;0;0;0;0;0;1350;432;1215;0
5103205;Colíder (MT);2008;0;3000;108;47;0;12;0;0;2640;9000;0;48
5103254;Colniza (MT);2008;0;3843;2400;2400;10000;600;0;0;24000;5550;0;0
5103304;Comodoro (MT);2008;1920;7620;70;53;0;90;0;525;3000;75600;126900;0
5103353;Confresa (MT);2008;0;8000;280;0;240671;0;0;0;54000;8820;0;0
5103361;Conquista D'Oeste (MT);2008;0;240;0;0;0;25;0;0;275;750;2496;44
5103379;Cotriguaçu (MT);2008;0;3600;160;576;0;400;0;160;1418;4860;0;50
5103403;Cuiabá (MT);2008;0;0;312;0;5400;0;0;0;4480;630;0;0
5103437;Curvelândia (MT);2008;0;62;0;0;104418;14;0;0;1560;450;0;0
5103452;Denise (MT);2008;0;18;0;0;1924851;15;0;0;1800;90;0;0
5103502;Diamantino (MT);2008;128547;7182;400;0;349001;788;0;0;15000;283759;871116;0
5103601;Dom Aquino (MT);2008;65100;735;96;0;83917;0;0;0;400;70122;86736;0
5103700;Feliz Natal (MT);2008;0;3690;0;0;960;360;0;0;1350;26400;114720;0
5103809;Figueirópolis D'Oeste (MT);2008;0;216;0;0;0;24;0;0;720;1452;0;0
5103858;Gaúcha do Norte (MT);2008;0;10560;0;0;3960;9;0;0;400;11788;149554;0
5103908;General Carneiro (MT);2008;2646;270;22;0;800;5187;0;0;750;86215;188616;0
5103957;Glória D'Oeste (MT);2008;0;210;390;0;43350;7;0;0;600;945;0;0
5104104;Guarantã do Norte (MT);2008;0;7560;2900;0;200;60;0;40;5000;3420;1166;0
5104203;Guiratinga (MT);2008;46015;1050;270;0;1000;540;0;0;400;85200;162240;0
5104500;Indiavaí (MT);2008;0;90;0;0;175;13;0;0;120;300;0;0
5104526;Ipiranga do Norte (MT);2008;30799;5400;720;3;0;4068;0;0;5000;243165;474875;26
5104542;Itanhangá (MT);2008;0;6450;0;0;5400;18;0;0;6000;55596;132000;0
5104559;Itaúba (MT);2008;0;10836;0;11;360;21;0;0;990;6245;50400;0
5104609;Itiquira (MT);2008;53274;1050;0;0;360000;160;0;0;1800;75480;540000;0
5104807;Jaciara (MT);2008;14025;2067;0;0;1061054;0;0;0;700;53995;90032;0
5104906;Jangada (MT);2008;0;120;636;0;17500;22;0;0;3000;1522;960;0
5105002;Jauru (MT);2008;0;130;0;0;0;22;0;0;840;900;0;0
5105101;Juara (MT);2008;0;2880;38;0;0;45;0;0;600;5220;0;36
5105150;Juína (MT);2008;0;3240;1760;900;0;1056;0;975;2625;9870;0;300
5105176;Juruena (MT);2008;0;1080;120;16;0;4;0;0;2400;1350;0;0
5105200;Juscimeira (MT);2008;0;1260;280;0;200348;0;0;28;4080;50340;101680;0
5105234;Lambari D'Oeste (MT);2008;0;300;102;0;942799;32;0;0;952;1224;2700;0
5105259;Lucas do Rio Verde (MT);2008;36938;729;0;0;0;2703;0;0;400;691360;758789;1620
5105309;Luciara (MT);2008;0;720;20;0;0;0;0;0;600;72;0;0
5105507;Vila Bela da Santíssima Trindade (MT);2008;0;1680;0;0;0;360;0;0;1750;7660;18762;0
5105580;Marcelândia (MT);2008;0;25200;65;12;0;0;0;0;3300;15038;7200;0
5105606;Matupá (MT);2008;0;18500;3375;3;0;30;0;0;14520;9438;7000;24
5105622;Mirassol d'Oeste (MT);2008;0;3000;140;0;498894;360;0;0;720;9060;6012;160
5105903;Nobres (MT);2008;0;6000;600;0;4000;0;0;720;18000;11160;26400;0
5106000;Nortelândia (MT);2008;1380;1350;252;0;0;0;0;0;3000;7110;39749;0
5106109;Nossa Senhora do Livramento (MT);2008;0;40;4000;0;8800;12;0;0;8400;1000;0;0
5106158;Nova Bandeirantes (MT);2008;0;1350;1188;756;0;13;0;66;1200;1800;0;0
5106174;Nova Nazaré (MT);2008;0;932;75;0;765;0;0;0;2040;300;5505;0
5106182;Nova Lacerda (MT);2008;0;18;65;0;0;35;0;0;960;3839;6590;0
5106190;Nova Santa Helena (MT);2008;0;990;0;202;400;14;0;0;6250;2550;4500;16
5106208;Nova Brasilândia (MT);2008;0;2400;35;0;0;13;0;0;480;1590;1185;0
5106216;Nova Canaã do Norte (MT);2008;0;13860;60;30;0;21;0;0;3300;13650;16500;18
5106224;Nova Mutum (MT);2008;101617;7920;0;0;0;1080;0;10;4000;335250;1081575;0
5106232;Nova Olímpia (MT);2008;0;1450;1290;0;1952122;47;0;0;3000;2125;0;0
5106240;Nova Ubiratã (MT);2008;36408;15296;0;45;2000;2556;0;0;5360;214800;717600;0
5106257;Nova Xavantina (MT);2008;5692;2565;100;0;1530;0;0;0;3375;12690;101391;0
5106265;Novo Mundo (MT);2008;0;3500;562;0;0;0;0;0;1980;8100;9900;0
5106273;Novo Horizonte do Norte (MT);2008;0;1410;162;48;0;0;0;8;1200;3600;0;200
5106281;Novo São Joaquim (MT);2008;50570;1314;2430;0;0;1888;0;0;1500;49140;190800;0
5106299;Paranaíta (MT);2008;0;2400;450;270;450;60;0;200;14000;6750;0;0
5106307;Paranatinga (MT);2008;0;55038;702;0;0;405;0;0;2800;12045;179046;0
5106315;Novo Santo Antônio (MT);2008;0;2310;40;0;0;0;0;0;2160;378;0;0
5106372;Pedra Preta (MT);2008;129119;1080;0;0;1440;220;0;0;3200;30428;108900;0
5106422;Peixoto de Azevedo (MT);2008;0;3600;810;84;60;60;0;0;9000;4800;3000;0
5106455;Planalto da Serra (MT);2008;0;4500;0;0;0;0;0;0;360;1950;11758;0
5106505;Poconé (MT);2008;0;975;3850;0;42036;112;0;0;9750;1784;0;0
5106653;Pontal do Araguaia (MT);2008;0;0;0;0;1000;0;0;0;2000;135;0;0
5106703;Ponte Branca (MT);2008;0;120;0;0;800;0;0;0;400;148;0;0
5106752;Pontes e Lacerda (MT);2008;0;840;972;0;1350;108;0;250;2990;16800;15000;0
5106778;Porto Alegre do Norte (MT);2008;0;11200;0;0;0;0;0;0;2000;3240;12300;0
5106802;Porto dos Gaúchos (MT);2008;6570;14550;0;0;250;0;0;0;600;101855;105000;0
5106828;Porto Esperidião (MT);2008;36;1336;270;0;9920;31;0;300;1200;1344;0;0
5106851;Porto Estrela (MT);2008;0;225;1260;0;7350;80;0;256;2700;600;2686;34
5107008;Poxoréu (MT);2008;56121;1500;240;0;690;1320;0;80;3780;66678;147080;0
5107040;Primavera do Leste (MT);2008;146797;1680;96;0;0;26160;0;0;1520;366945;656250;100
5107065;Querência (MT);2008;0;55014;150;0;1500;756;0;0;5200;44880;534240;0
5107107;São José dos Quatro Marcos (MT);2008;0;375;165;3;630;48;0;0;1820;4200;648;120
5107156;Reserva do Cabaçal (MT);2008;39;39;0;0;800;7;0;0;540;300;0;0
5107180;Ribeirão Cascalheira (MT);2008;0;13646;800;0;600;0;0;0;1350;5400;23250;0
5107198;Ribeirãozinho (MT);2008;0;605;0;0;800;0;0;0;600;5184;28966;0
5107206;Rio Branco (MT);2008;0;88;0;0;860;14;0;0;492;660;0;0
5107248;Santa Carmem (MT);2008;0;32000;0;0;0;0;0;0;300;44336;120210;0
5107263;Santo Afonso (MT);2008;0;2673;1320;5;0;4;0;0;6000;1860;1248;0
5107297;São José do Povo (MT);2008;0;192;0;0;6000;0;0;0;450;144;0;0
5107305;São José do Rio Claro (MT);2008;31336;7920;0;0;534000;6;0;66;2300;57557;261714;0
5107354;São José do Xingu (MT);2008;0;4500;450;0;0;0;0;0;4320;4500;41400;0
5107404;São Pedro da Cipa (MT);2008;0;0;0;0;144824;0;0;0;360;150;0;0
5107578;Rondolândia (MT);2008;0;290;691;403;0;120;0;0;1105;748;0;0
5107602;Rondonópolis (MT);2008;11756;780;240;0;600;0;0;0;1500;43290;195300;0
5107701;Rosário Oeste (MT);2008;0;1620;1000;0;3500;0;0;600;50000;3600;4800;0
5107743;Santa Cruz do Xingu (MT);2008;0;7290;60;0;0;240;0;0;2160;2100;11526;0
5107750;Salto do Céu (MT);2008;0;38;0;0;320;19;0;0;360;86;0;0
5107768;Santa Rita do Trivelato (MT);2008;39191;1368;0;0;0;0;0;0;0;174020;447076;0
5107776;Santa Terezinha (MT);2008;0;2160;400;0;0;0;0;0;16500;3650;3600;0
5107792;Santo Antônio do Leste (MT);2008;40784;1350;51;0;0;735;0;0;450;103336;392700;0
5107800;Santo Antônio do Leverger (MT);2008;6261;45;640;0;174261;2963;0;0;4900;55339;66413;24
5107859;São Félix do Araguaia (MT);2008;0;3600;188;0;0;5;0;0;6000;16443;38760;0
5107875;Sapezal (MT);2008;235666;5310;0;0;0;7321;0;0;0;477703;1062057;0
5107883;Serra Nova Dourada (MT);2008;0;1134;0;0;0;0;0;0;880;528;960;0
5107909;Sinop (MT);2008;13200;30853;1000;45;1050;698;0;0;2400;170225;279300;105
5107925;Sorriso (MT);2008;60330;13200;0;0;0;15048;0;0;14000;997440;1794000;0
5107941;Tabaporã (MT);2008;18000;13545;90;10;0;0;0;45;300;97380;290000;75
5107958;Tangará da Serra (MT);2008;15852;4320;3000;198;1109546;0;0;0;7000;90315;152544;250
5108006;Tapurah (MT);2008;30436;6600;180;5;0;0;0;0;4500;188550;381099;0
5108055;Terra Nova do Norte (MT);2008;0;2640;90;15;0;6;0;120;600;2700;3600;0
5108105;Tesouro (MT);2008;3360;480;144;0;0;360;0;0;450;41520;89600;0
5108204;Torixoréu (MT);2008;0;450;0;0;750;0;0;0;1200;1800;34964;0
5108303;União do Sul (MT);2008;0;9900;16;0;0;0;0;0;675;6450;18000;0
5108352;Vale de São Domingos (MT);2008;0;63;0;0;11200;8;0;0;360;450;3600;0
5108402;Várzea Grande (MT);2008;0;0;136;0;3750;0;0;0;5600;420;0;0
5108501;Vera (MT);2008;7680;10874;0;0;0;540;0;0;4000;110700;302967;0
5108600;Vila Rica (MT);2008;0;11200;160;0;0;0;0;0;3840;3080;9000;0
5108808;Nova Guarita (MT);2008;0;2450;22;1;300;5;0;0;600;5500;1500;0
5108857;Nova Marilândia (MT);2008;0;324;0;6;0;0;0;0;750;11580;21840;0
5108907;Nova Maringá (MT);2008;0;10800;156;22;0;0;0;48;1275;60206;330000;0
5108956;Nova Monte Verde (MT);2008;0;5670;0;216;0;78;0;0;1520;5940;0;0
5200050;Abadia de Goiás (GO);2008;0;180;0;0;0;0;0;0;310;900;1200;0
5200100;Abadiânia (GO);2008;0;288;330;0;700;0;0;0;800;5440;9450;0
5200134;Acreúna (GO);2008;2730;240;0;0;948600;810;0;0;700;83520;78000;3500
5200159;Adelândia (GO);2008;0;520;3257;31;0;155;0;600;160;4000;150;0
