mun,municipio,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
4306601,Dom Pedrito,0,372562,0,0,0,0,0,10,0,7400,192000,0
4306700,Dona Francisca,0,21738,0,0,1400,42,630,120,1000,2990,1536,0
4306734,Doutor Maurício Cardoso,0,6,126,0,3500,12,595,207,2500,54800,45483,48
4306759,Doutor Ricardo,0,0,0,0,1200,10,454,140,120,6480,165,0
4306767,Eldorado do Sul,0,60775,0,0,300,20,36,210,3000,309,5377,0
4306809,Encantado,0,0,150,0,2500,30,4,480,780,3140,1022,18
4306908,Encruzilhada do Sul,0,8400,0,0,0,235,743,420,4350,5544,60480,90
4306924,Engenho Velho,0,0,0,0,245,59,0,360,140,1620,17600,17
4306932,Entre-Ijuís,0,0,10,0,600,258,0,500,4025,31600,106261,20
4306957,Entre Rios do Sul,0,0,0,0,225,51,30,0,160,3400,22500,0
4306973,Erebango,0,21,0,0,50,93,0,60,400,6300,33000,40
4307005,Erechim,0,0,0,0,3120,60,0,1625,1800,8160,33950,480
4307054,Ernestina,0,0,0,0,0,17,0,0,90,800,50445,0
4307104,Herval,0,5184,0,0,0,120,0,150,105,4050,19500,0
4307203,Erval Grande,0,3,0,0,1400,48,357,3850,500,7200,9000,90
4307302,Erval Seco,0,0,0,0,750,465,210,375,5000,22200,47205,0
4307401,Esmeralda,0,0,0,0,0,1820,0,0,40,15000,94050,29
4307450,Esperança do Sul,0,0,68,0,3200,93,212,225,2160,11760,15510,20
4307500,Espumoso,0,0,0,0,500,531,4,1400,2200,7800,191640,88
4307559,Estação,0,0,0,0,80,17,0,40,150,1350,22620,0
4307609,Estância Velha,0,0,0,0,700,8,0,360,607,608,0,80
4307708,Esteio,0,3150,0,0,0,0,0,0,0,0,0,0
4307807,Estrela,0,0,50,0,3200,25,0,376,2250,11550,4950,20
4307815,Estrela Velha,0,0,0,0,100,181,2688,319,1500,5400,41550,10
4307831,Eugênio de Castro,0,0,0,0,800,8,0,96,1050,19500,95107,0
4307864,Fagundes Varela,0,0,0,0,63,9,2,180,75,9100,2579,200
4307906,Farroupilha,0,0,0,0,0,44,0,2500,120,9600,0,900
4308003,Faxinal do Soturno,0,15000,31,0,1050,16,525,150,1500,980,3900,0
4308052,Faxinalzinho,0,0,0,0,200,345,0,0,160,2880,19250,0
4308078,Fazenda Vilanova,0,0,0,0,0,22,0,156,700,2160,1820,48
4308102,Feliz,0,0,31,0,350,5,0,19,960,336,0,810
4308201,Flores da Cunha,0,0,0,0,0,24,0,435,105,1600,0,1080
4308250,Floriano Peixoto,0,0,0,0,1200,60,0,120,600,6300,22140,100
4308300,Fontoura Xavier,0,0,0,0,0,240,2400,0,300,6000,15000,0
4308409,Formigueiro,0,70374,24,0,480,10,120,360,3000,891,19440,40
4308433,Forquetinha,0,0,24,0,936,30,193,56,1350,1800,405,0
4308458,Fortaleza dos Valos,0,0,0,0,420,66,0,285,360,15990,143676,0
4308508,Frederico Westphalen,0,23,14,0,1500,708,340,900,3750,18480,18418,125
4308607,Garibaldi,0,0,0,0,0,12,0,325,108,2160,0,250
4308656,Garruchos,0,1677,0,0,1750,0,0,180,1125,5550,48747,0
4308706,Gaurama,0,0,0,0,500,61,16,750,780,5688,28700,75
4308805,General Câmara,0,14000,0,0,149,65,1100,150,1170,10000,17820,116
4308854,Gentil,0,0,0,0,160,17,24,40,150,1620,37800,140
4308904,Getúlio Vargas,0,0,0,0,0,222,38,200,1800,6400,49560,240
4309001,Giruá,0,0,16,0,1250,433,0,240,4500,36210,214560,60
4309050,Glorinha,0,14980,0,0,1350,15,0,360,1500,195,2025,70
4309100,Gramado,0,0,35,0,240,18,0,264,850,4800,0,245
4309126,Gramado dos Loureiros,0,0,0,0,1400,186,0,1650,1200,5460,21060,30
4309159,Gramado Xavier,0,13,0,0,0,194,4800,216,400,6000,7488,0
4309209,Gravataí,0,5600,0,0,966,7,0,16,1261,36,298,45
4309258,Guabiju,0,0,0,0,100,24,9,180,250,6300,19200,425
4309308,Guaíba,0,29289,0,0,0,12,0,0,1976,63,138,0
4309407,Guaporé,0,2,12,0,840,90,22,3375,800,14918,14616,330
4309506,Guarani das Missões,0,0,12,0,5600,144,0,500,4500,15600,57120,19
4309555,Harmonia,0,0,0,0,1200,2,0,7800,2175,185,0,0
4309571,Herveiras,0,0,0,0,48,88,3750,72,700,7500,468,0
4309605,Horizontina,0,0,162,0,2879,12,14,187,3870,35100,33000,90
4309654,Hulha Negra,0,7000,0,0,0,0,0,127,0,2520,23100,0
4309704,Humaitá,0,0,24,0,450,30,4,225,2160,11480,22440,0
4309753,Ibarama,0,25,21,0,5250,473,4556,300,2800,14040,3240,66
